stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,lateral.line,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,60.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.64,227.34,0,0,0,0,0,0,0,0,0,0,68.52,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.55,0,0,0,50.76,0,0,0,0,0,332.34,4.24,0,70.17,0,0,0,0,0,0
 10-12,0,3.1,6.52,0,0,0,8.19,0,0,0,0,0,152.5,3.16,0,41.62,0,5.43,0,0,0,0
 14-21,0,0,0,0.82,7.84,0,0,0.93,50.86,0,0,0,2.74,0,1.2,0,4.12,1.01,0,1.8,0,0
 24-34,0,0,0,0,0.6,0,0,0,140.63,0,0.97,0,3.09,0,0,0,0,0,0.63,2.77,0,0
 36-46,0,0,0,0,0,0,2.04,0,157.86,0,0,0,8.7,0,0,0,0,0,0,2.79,0,0
 48-58,0,0,0,0,0,0,6.31,0,114.3,0,3.96,0,7.11,0,0,0,0,0,0,1.05,2.23,0
 60-70,0,0,0,0,0,0,15.21,0.89,122.26,0.8,0,0,15.67,0,0,0,0,0,0,1.17,0,0
 72-82,0,0,0,0,0,0,7.28,0.79,77.9,0,0,0,1.08,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,4.12,0,117.07,0,0,0,4.05,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,7.15,0,110.32,0,2.13,1.85,5.44,0,0,0,4.9,0,0,0,0,0.61
108-118,0,0,0,0,0,0.72,4.96,0,114.4,0,0,0,13.4,0,0,0,0,0,0,3.76,0.66,0
120,0,0,0,0,0,0,2.69,0,240.83,0,13.82,0,7.27,0,0,0,0,0,0,0,1.56,0
