stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,106.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,20.8,0,0,0,13.41,0,0,0,0,0,0,0,0,0
 10-12,5.28,0,9.32,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,24.03,0,0,0,5.15,0,13.48,0,0,0,0,0,0,0
 14-21,0,0,0,1.5,0,0,1.29,0,0,0,0,0,0,0,5.61,0,0,3.37,21.98,0,0,0,0,0,0,0,1.09,4.99,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,24.75,0,0,5.33,85.65,0,0,0,0,0,0,0,0,24.18,0,0,0,0
 36-46,0,0,0,0,15.79,0,5.34,0,0,0,0,0,0,0,15.11,0,0,4.05,130.08,0,0,0,0,0,0,0,0,5.58,0,0,0,0
 48-58,0,0.59,0,2.08,137.91,1.27,19.32,0,0,0,0,2.64,2.53,0,9.66,0,0,1.44,358.56,0,0,0,0,0,0.53,5.13,0,27.46,0,0,0,0
 60-70,0,0,0,0,300.07,0,42.11,0,0,0.8,0,0,0.73,0,16.21,1.81,0,0.81,394.22,5.22,0,0,0,9.51,0,0,0,12.87,0,0,0.81,3.58
 72-82,0,0.95,0,3.21,278.13,0.61,51.59,0,0,0,0,0,0,0,9.94,0,0.9,0,372.36,0,0,0,0,0,0,0,0,17.71,1.68,0,2.7,0
 84-94,0,1.55,0,2.88,210.48,1.27,36.27,0,0,1.71,0,0,0,0.73,12.06,0,0,1.32,309.32,0,0,0,0,1.2,0,0,0,11.65,0,0.58,0,0
 96-106,0,0,0,8.36,258.51,10.54,16.24,0,0,2.95,0,0,0.57,0,11.28,0,6.52,1.85,284.76,0,0,0,0,0,0,0,0,13.1,0,0,2.67,0
108-118,0,0,0,0.81,216.05,0,58.96,0.43,0,2.52,0,0,0,0,7.44,0,1.8,1.73,319.83,0,0,0.86,0,0,0.46,0,0,0.42,3.42,0,2.47,0
120,0,0,0,2.14,295.77,3.57,30.59,0,0,4.89,0,0,0,0,11.26,0,0,0,592.46,0,15.04,0,0,0,0,0,0,23.62,0,0,0,0
