stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,28.92,657.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.88,0,0,0,0,0
  5-6,0,216.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.03,0,0,17.41,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.72,0,0,36.95,0,0,0,0,0,0
 14-21,0,0,0,0,2.01,0,0,1.17,0,0,0,0,0,0,0,0,1.02,0,0.84,17.56,2.86,0,0,0,3.25,1.26,0,9.47,0
 24-34,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,12.44,0,1.68,96.87,3.16,0,0,0.59,0,0,0.66,13.58,0.72
 36-46,0,0,0,0,0,0,8.03,0,1.62,0,0,0,0,0,1.55,0,13.9,0,2.71,195.85,1.34,0,0,0,0,0,0,32.55,0
 48-58,0,0,0,0,1.89,0,34.94,4.37,0,2.42,0,0,0.59,0,0,1.05,24.9,0.41,1.5,391.39,3.83,0,0,0,0,0,0,60.37,0.39
 60-70,0,0,0,0,0.75,0,75.12,0,1.45,0,0,0,0,0,0,6.25,23.84,0,0,505.79,0,0,0,1.01,0,0,0,47.76,1.96
 72-82,0,0,0,0,6.67,1.84,111.58,7.4,0.56,7.36,0,0,0,0,0,0,52.44,0,5.21,544.82,1.38,0,0,5.54,0,0,0,59.01,0.96
 84-94,0,0,1.42,0,18.22,0,63.43,0,1.93,4.28,0,0.62,0,0,0,0.96,42.85,0.86,3.75,332.47,0,0,0,0,0,0,0,70.09,0
 96-106,0,0,0,0,3.54,0,56.76,0.62,2.99,10.2,0,0,0.81,0,0,0,30.13,3.15,1.93,249.15,4.65,0.98,0,0,0,0,0,23.48,0
108-118,0,0,0,0,3.02,0,38.77,0,0.82,1.67,0.49,0,1.47,0.63,0,0,34.73,0,0,374.75,2.26,0,0,0.7,0,0,0,13.03,1.1
120,0,0,0,0,0,0,27.75,0,10.32,0,0,8.09,0,0,0,0,30.69,9,0,506.46,0,0,0,0,0,0,0,49.14,0
