stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,7.33,0,0,32.78,0,0
 24-34,0,0,0,0,1.06,0,0,0,58.24,0.85,0,47.33,0,0
 36-46,0,0,0,4.32,0,0,1.06,0,110.37,0,0,69.42,0,0
 48-58,0,0,0,9.55,0.57,0,0.89,4.73,199.91,0,0.85,94.8,0,0.9
 60-70,0,0,0,20.95,0,0.85,0,0,334.06,0,0,43.09,0,0
 72-82,1.18,1.44,0,39.66,1.35,0,4.34,0,357.09,0,0,33.92,0,0
 84-94,0,3.72,0,18.12,7.5,0.76,0,2.25,199.53,0,0,32.57,0,0
 96-106,0,0,0,26.88,3.29,0,0.93,0,175.46,0,0,16.37,0.94,0
108-118,0,1.41,1.23,49.31,6.82,0.52,1.03,0,178.8,1.97,0.43,14.31,0,0
120,0,3.3,0,37.75,13.97,0,6.04,5.23,328.71,0,0,13.49,0,0
