stage,epidermis,eye,fin.epithelia,lateral.line,mesenchyme,muscle,neural,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord
 14-21,1.63,0,0,0,0.82,0,4.65,0,0,0.82,0.91,2.29
 24-34,0,0,0,0,0.86,0,14.34,0,0.66,0,0,1.27
 36-46,0,0,0,0,0,0,1.16,0,0,0,0,0
 48-58,0,1.01,5.62,0,0.76,0.87,0,0.85,0,0,0,0
 60-70,0,8.55,0,0,0,0,2.58,0,0,0,0,0
 72-82,0,1.13,0,0.79,0,1.57,0,0,0,0,0,0
 84-94,0,2.91,0,0,0.81,0,1.63,0,0,0,0,0
 96-106,0.6,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0.62,0,0,0,0,0,0,0,0,0,0
