stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,86.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,74.19,0,0,0,18.14,0,5.38,0,0,0,0,0,0,0,0
 10-12,7.55,19.29,0,0,5.04,0,0,0,0,0,0,0,0,0,0,52.94,0,0,0,42.96,0,0,0,24.99,0,0,0,0,0,0
 14-21,0,0,0.95,0,0.9,0,0,2.97,0,0,0.84,0,0.82,0,1,9.74,0,0,0,0,0,0,3.17,0,0,0.86,5.16,0,0,0
 24-34,0,0,0,0,5.21,1.61,0,1.52,0,0,0,0,1.09,0,2.33,24.82,0,0,0.95,0,0,2.95,0,0,0,0,3.41,0,0,0
 36-46,0,0,0,0,3.41,0,0,2.19,0,0,1.48,0,3.1,0,0,16.92,0,0,0.61,0,0,0.89,0,0,0,0,5.74,0,0,0
 48-58,0,0,0,0,5.24,1.07,0,3.28,0,0,0,0,3.31,0,2.07,12.65,0,0,0,0,0,0.8,0,0,1.46,0,3.85,0.4,0,0
 60-70,0,0,1.34,0,7.07,0,0,4.44,0,0,0,0,3.7,0,1.94,6.2,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.97,0,0,5.17,0.63,0,0,0,2.74,1.52,0,12.63,0,0,0,0,0,3.77,0,0,0,0,1.49,0,0,0
 84-94,0,0,0.86,0,4.1,0,0,0,0,0,0,0.62,1.36,3.53,0,9.87,3.47,0,3.55,0,0,1.2,0,0,0,0,0,0.74,0,0
 96-106,0,0,6.01,0.61,1.08,0,2.34,0,0,0,0,0,1.79,0,0,10.09,0,4.86,0,0,0,3.89,0,0,0,0,0,0,0,0
108-118,0,0,0.75,2.82,0,2.37,0,2.83,0,0,0,0,4.27,0,0.44,2.64,0,0,0,0,2.05,3.79,0,0,0,0,0,0,6.71,2.18
120,0,0,1.06,0,0,0,0,0,0,6.53,0,3.92,1.41,0,10.68,8.67,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0
