stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0.9,1.91,3.42,0,0.81,0,0,0,1,0,0,0,0,0,0,0,1.25,5.26,1.3,0,0,1.74,3.32,0.86,0,4.2,1.02,0,0
 24-34,0,0,0.83,0,4.18,0.75,0,0,0.77,0,0,0,0,0,0,0.71,0,3.52,0,0,1.58,0,0,0,0,1.62,0,3.69,3.06
 36-46,0,0,0,0,0.59,0,0,0,0,0,0,0,0,2.62,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.51,0,0,0,0.46,0,0,0.44,0.41,0,0.63,0,0.65,12.63,0,0.48,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.65,0,0.73,0,0,0,0,0,0,0,1.74,0,0,20.3,0,0,0,0,0,0,0,0,1.72,0.7,0
 72-82,0,0,0,0,3.34,0,0,0,1.38,0.5,0,0,0,0,1.41,0,0,12.42,0,0,4.69,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.09,0,0,0,1.03,0.77,0,0,0,0,1.48,0,0,28.45,0,0,3.93,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.64,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0.96,0,0,3.66,0,1.36,0,0,0,0,0,0
108-118,0.49,1.28,0,0,1.92,0,0,3.45,0,0,2.3,0,0,0,1.73,0,0.56,13.42,0,0.47,3.45,0,0,0,0.41,0,0,0,0
120,0,1.18,8.54,3.41,17.12,0,0,0,0,0,0,0,0,0,0,0,0,32.48,0,0,0,0,2.6,0,0,0,0,0,0
