stage,axial,epidermis,erythrocytes,eye,fin.mesenchyme,glial,iridophores,mesenchyme,muscle,neural,pronephros,slow.muscle
  3-4,25.25,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.5,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.92,0,0
 24-34,0,0,0,0,0,0,0,6.22,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.92,0,0,0,0
 48-58,0,0.42,0,0.95,0.42,0.64,0,2.17,0,3.72,0,0
 60-70,0,0,0,1.73,0,0,0.6,0,0,0,0,0
 72-82,0,0,0.66,0,0,0,0,0,0.55,1.35,0,0
 84-94,0,0.72,0,0.7,0,0,0,0,0,0,0.56,0.55
 96-106,0,0,0,0,0,0,0,1.35,0,0,0,0
108-118,0,0,0,0.43,0,0,0,0,0,2.26,0,0
