stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.36,318.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.69,0,0,0,0,0,0,0,0,0
  5-6,26.35,188.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.45,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.76,0,13.53,0,0,0,12.49,0,0,0,0,14.12,0,0,0,0,0,0,0,0,0,0,0,315.01,24.81,0,0,92.15,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.87,0,6.05,0,54.5,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,303.09,17.59,0,0,100.89,0,4.52,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,5.24,2.81,0,4.65,0,0,2.1,0,0,0,0,0,0,0,0,0,1.79,0,0,3.74,37.11,14.42,0,0,0,0,4.26,6.36,0.81,5.75,22.4,0,0,0,0,0
 24-34,0,0,0,0.59,7.58,0,0,15.71,0,0,4.25,0,0,0,0.6,0,0,0.63,0,0,19.75,0,0.91,2.87,137.34,0,2.01,1.35,0,0,4.24,0,0,0.66,31.11,0,0,7.19,0,6.49
 36-46,0,0,0,0,4.98,0,0,25.96,0,0,6.08,0,0,0,0,0,0,0.74,0,0,23.31,0,0,5.61,85.4,0,0,0.76,0,0,10.31,0,0.58,0,33.76,0,0,1.13,0,0.7
 48-58,0,0,0,0,2.15,0,0,30.15,0.41,0,11.35,0.69,0,0,0.52,0,0,0,0,2.79,16.59,0,0.95,2.7,88.21,0,6.17,0.37,0,0,0.37,0,0,0,28.33,0,0,2.91,0,0
 60-70,0,0,0,0,0,0,0,34.83,0,0,11.38,0,0,0,0,6,0,0,0,0,29.51,0,1.34,1.51,63.89,0,0,0,0,0,4.01,0,0,0,10.02,1.22,0,0,0,0
 72-82,0,0,0,0,0,0,0,53.94,0,0.56,12.89,0.51,0,0.87,0,0,0,1.04,0,0,18.32,0,0,1.44,64.55,0,1.18,1.35,0,0,0,0,1.23,0,4.01,0,1.44,1.68,0.84,0
 84-94,0,0,0,0,5.16,0.59,0,41.54,0,0,10.56,0,0,0,1.57,2.59,1.36,0,0,0,43.21,0,0,1.39,65.03,0.89,0,0,0,0,11.21,0,0,0,2.49,0,0,0,1.63,0
 96-106,0,0,5.6,0,3.93,0,0,14.92,0.62,0,12.54,0.57,0,1.57,0.66,1.28,0,0,0,0,20.88,1.61,0,2.22,43.63,0,2.84,0,0,0,9.42,0,0,0,1.03,0,0,4.8,0.68,0
108-118,0,0,1.15,0,1.62,2,0.59,33.99,3.32,0.5,9.76,0,0,0,3.55,0,0.71,2.72,1.13,0,20.24,0,0,2.42,50.08,0,0.7,0.66,0,1.83,1.69,0,2.34,0,0,0,0.54,4.08,0,0
120,0,0,0,0,8.5,0,0,17.59,0,2.36,18.74,1.77,0,0,0,0,0,0,0,0,16.04,0,0,3.45,75.66,0,0,0,0,0,7.39,0,0,0,5.98,0,0,1.44,1.8,0
