stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,1.02,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0.68,0,0,0.65,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,3.11,0,0,0
 48-58,0,0,0.49,0,0,0.97,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.57,0,0.96,0,0,0,0,0,0,0,3.42,0,0,14.37,1.98,0,2.88,0,0,0,0,0,0
 72-82,0,0,0,0,7.97,0,0.51,0.75,0.7,0,0.66,0,2.09,0,0,22.29,0.53,0,0,0,0,0,0,0.89,0
 84-94,0,0,0.88,1.26,8.46,0,0,1.39,1.31,0,0,0,1.16,0,0,16.18,0,0,2.5,0,0,5.83,0,0,0.64
 96-106,0,1.08,0,0,9.78,0,0,0,0,0,0,0,5.29,0,0,0.81,0,0,0,0,0,0,1.71,0,0
108-118,0,0,0.77,1.41,1.71,0,0,3.75,0,0,0,0.92,4.09,0.98,0,4.39,0,2.06,0.59,0.5,0,0,0,0,0
120,0,0,2.17,1.25,0,0,0,4.28,2.91,0,0,0,4.25,0,1.41,10.4,0,4.58,1.5,0,0,0,0,0,0
