stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,liver,mesenchyme,neural,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle
  3-4,0,32.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,0,0,0,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,1.32,0.91,0
 36-46,0,0,0,0,0,0,0.71,0,0,1.82,0,0,0,0,0,3.87,0,0,0,0,0
 48-58,0,0,0,0,0,0,3.93,0,0.63,2.39,0,0,0,0,0.41,5.1,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,8.12,0,0,0,0,1.71,6.33,0,0,0,0,0
 72-82,0,0,1,0,0,0,0,2.48,0,44.05,0,2.49,0,0,4.67,16.2,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,70.5,0,0,0,0,7.78,1.8,0,1.16,0,0,0
 96-106,0,0,0,0,0,4.22,12.93,0,0,168.85,0,0,0,5.58,3.5,18.77,1.2,0,0,0,0.9
108-118,0,0,1.11,0.5,2.93,0,6.49,0,0,182.52,0,0.43,0.63,1.7,2.02,4.21,0,5.85,0,0,0
120,0,0,0,0,0,0,11.91,0,0,186.02,0,0,0,0,0,23.94,0,0,0,0,0
