stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  5-6,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.88,0,0,10.88,0,0,0,0
 14-21,0,0,1.89,0.91,0,0,0,0,0,14.08,0,0,0.93,0,1.9,4.67,4.25
 24-34,0,0,0,3.17,0,0,0.76,2.67,0,27.35,0,0,0,3.4,0,0,1.22
 36-46,0,0,0,0,0,0,0,2.49,1.17,10.86,0,0,0,0,0,0,0.64
 48-58,0,0,0,4.63,0.95,0,0,0.54,0,20.24,5.15,0,0,0,0,0,3.22
 60-70,0,0,0,1.61,0,0,0,2.27,0,19.32,0,0,0,0,0,0,0
 72-82,0,0.59,0,5.92,0,0.66,0,1.48,0,13.9,0,0.52,0,0.57,0,0,7.6
 84-94,0,0.62,0,2.03,0,0,0,1.4,0,8.68,0,0,0,0,0,0,4.7
 96-106,0,0,0,0.97,1.54,0,0,0,0,12.59,0,0,0,0,0,0,0
108-118,0,0,0,1.23,0,0,0,0,0.57,15.89,0,0,0,0.48,0,0,0
120,0,1.6,0,0,0,0,0,0,1.98,37.65,0,0,0,0,0,0,9.91
