stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,gut,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,17.18,51.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,142.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.36,0,0,0,0,0,0,40.93,0,33.42,0,0,0,0,0,0
 10-12,0,0,0,5.83,0,0,0,0,0,0,70.68,0,5.3,0,0,9.78,0,0,0
 14-21,0,0,2.8,0,0,0,0,0,0,0,2.32,0,1.19,0,2.5,0,1.55,0,0
 24-34,0,0,0,0,0,0,0,0,0.72,0,0.87,0,0,0,0,0,0.72,0,0
 36-46,0,0,0,0.6,0.68,0,0,0,0.62,0,2.21,0,0,0,0,0,0,0,0
 48-58,0,0,0.41,0,0,0,0,0.6,0,0,0.38,0.43,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,1.5,0,0
 84-94,0,0,0,0,0,1.39,0.71,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.79,0,0,0,0,0,0,0.57,0,0,0,0.71,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.48
120,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
