stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,155.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.07,0,0,0,0,0,0,0,0,0
  5-6,12.49,146.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.92,0,0,0,0,0,0,0,0,0
  7-9,4.88,0,0,0,0,0,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.55,0,0,0,57.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.03,0,0,16.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.02,24.45,0,0,32.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.32,0,0,0.87,0,1.09,0,0,0,0.87,0,0,0,1.96,0,0,7.37,0,0,0,0,0,1.31,0,0,0.97,6.41,0,0,0,0
 24-34,0,0,0,0,0.84,0,15.42,0,0,0,1.78,0,0,0,0,0,0,0,2.01,0,1.23,20.51,0.63,0,0,0,0,0,6.39,0,0.61,13.18,0,0,1.03,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,1.14,0,0.58,23.36,0,2.17,0,0,0,0,2.72,0,0,14.97,0,0,0,0
 48-58,0,0,0,0,11.36,0,3.15,2.64,0,0.91,3.45,0,0,0,0,2.21,0,0,13.32,0.68,2.36,51.01,0,0,0,0,0,0,1.95,1.57,0,12.2,0,0,0,0
 60-70,0,0,0.89,0,1.97,0,46.75,0,0,1.8,7.07,0,0,0,1.16,1.56,0,0,25.58,0,1.67,51.14,0,0,0,0,0,0,7.47,0,0,9.89,0,0,0,0
 72-82,0,0,0.49,0,0,0,87.96,0,0,4.18,3.14,0,0,0.81,0,5.07,0,0.49,26.14,0,3.94,55.14,0,0,2.95,0,0,0,2.77,0,0,15.67,0,0,5.82,1.12
 84-94,0,0,0,0,3.28,0,128.85,0,0,0,2.07,1.68,1.59,0,0,5.8,0,9.73,12.76,0,0,36.53,0,0,3.34,0,0.82,0,1.95,0,0,8.94,0,0,0.63,0
 96-106,0,0,0,0,2.91,0,135.14,0,0,0,5.49,0,0,0,0,26.05,0.7,0,22.66,0,0.79,32.33,0,0,1.24,0,0.72,0,1.16,0,0,5.81,0,1.71,1.19,0
108-118,0,0,0,0,0.41,0,109.38,0,0.74,0,7.38,0.65,0,0.73,0.55,15.15,0,0.51,27.14,1.32,0.55,46.96,0,0,1.87,0,4.37,0,2.17,0,0,7.46,1.01,0.53,3.1,0
120,0,0,0,0,9.58,0,106.56,0,0,0,44.98,0,0,3.1,0,14.81,0,0,26.08,0,4.21,80.41,0,0,6.39,0,0,0,2.81,0,0,5.78,0,0,0,0
