stage,blastomeres,endoderm,eye,neural,paraxial.mesoderm,periderm,pronephros
  3-4,52.91,0,0,0,0,0,0
  5-6,59.22,0,0,11.14,0,7.13,0
  7-9,0,8.62,8.89,116.57,46.66,0,0
 10-12,0,8.73,9.56,66.49,30.25,0,7.65
