stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.14,169.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0,0,0
  5-6,0,53.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.08,4.22,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.21,0,0,0,14.03,0,0,0,0,0,8.93,0,0,0,0,0,0,0,0,0,0,0,90.06,27.57,0,0,14.33,0,0,0,6.12,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.86,16.04,6.28,0,2.67,0,0,0,0.87,3.71,0.85,5.51,0,0.9,0,0,0,0,6.73,0,0,9.94,90.68,25.33,0,0.8,0.97,0,4.64,0,1.81,12.27,25.99,19.37,0,0,2.41,0,0
 24-34,0,0,4.99,4.23,13.06,0.81,0,24.24,2.23,0,1.54,3.22,0.68,0,13.01,0.65,1.4,0,2.68,3.36,1.14,48.9,0.7,0,41.54,463.2,6.69,0,3.91,0,0,22.99,0,10.24,7.07,27.99,70.49,0,0,13.33,0,3.39
 36-46,0,0,1.92,0,13.53,1.23,0,43.73,1.46,0,0,2.34,1.16,0,10.93,0,7.91,2.15,0,0,12.4,50.32,0.72,2.92,17.89,334.92,5.89,3.61,5.27,0,2.1,43.68,0,3.47,0.76,1.98,71.7,0,0,14.99,0,8.85
 48-58,0,0,1.49,0,21.45,0,0,86.68,0.89,6.16,11.47,25.22,1.64,0,4.89,0,3.49,11.19,7.85,0.37,19.77,62.44,0.42,5.44,21.67,337.94,3.45,0,1.59,0,0,17.8,0,3.67,13.38,0,66.39,0,0.61,6.57,0,2.16
 60-70,0,0,0,0,14.48,0,0,108.49,1.93,18.15,3.94,17.18,12.87,0,1.33,8.05,1.24,8.72,1.96,10.97,4.76,102.78,1.21,6.34,13.92,337.69,8.39,1.75,2.16,0,0,21.02,0,16.16,11,0,48.39,1.68,6.81,5.71,1.54,20.15
 72-82,0,0,0,0,17.19,1.64,0,102.42,3.16,6.64,14.42,7.23,15.14,0.6,0.5,2.47,3.6,0,0,0,0,88.73,4.33,13.02,15.59,362.91,10.51,1.43,52.93,0,1.97,36.2,0,9.15,8.39,0,35.7,1.51,3.85,11.4,3.46,1.1
 84-94,0,0,1.32,0,21.01,1.62,0,80.65,0.55,14.73,4.78,12.14,21.27,0,3.69,2.58,4.3,3,3.48,7.42,2.21,99.89,0.76,9.77,8.72,186.47,4.25,2.17,25.87,0,0,72.75,0,53.09,2.4,0,14.2,1.21,3.89,2.77,0.98,5.84
 96-106,0,0,0.81,0,27.21,14.07,1.66,54.75,9.05,12.33,1.21,28.09,51.77,0,6.4,2.17,11.21,1.37,5.05,20.4,1.79,47.23,4.59,6.08,1.14,287.88,4.65,3.52,27.9,0,1.54,76.21,0,37.16,1.27,0,12.85,1.44,3.3,22.29,6.71,2.55
108-118,0,0,2.89,0,26.89,17.95,0.82,72.03,4.26,23.97,2.99,10.3,58.06,0,3.49,12.78,6.39,5.96,5.73,20.58,12.89,85.54,5.42,11.18,8.99,278.02,4.5,0,54.18,0,1.14,54.65,0,57.19,3.83,0,10.9,3.88,1.04,25.56,3.24,0.74
120,0,0,0,0,49.24,12.5,1.71,107.13,3.23,13.72,14.3,64.46,62.1,0,3.65,13.98,2.42,17.47,8.04,20.27,9.24,124.27,1.47,29.95,8.57,419.48,23.2,15.75,37.47,0,15.99,50.47,0,82.69,0,0,29.87,0,20.85,10.52,0,19.73
