stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,115.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.66,0,0,0,23.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.49,0,0,0,4.32,0,0,8.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,4.56,2.83,0,0,0,0,0,0,0,0,0,0,0.86,0,0,1.79,46.92,0,0,0,1.09,0,0,0,2.4,0,2.73,17.58,0,0,0,0,0
 24-34,0,0,0,1.4,0,3.02,0,0,0,3.73,0,0,0,0.72,0.97,1.32,0,0.77,0,0.64,64.58,0,1.03,0,0,0,0.6,0,0,0,0,11.72,0,0,0,0,0
 36-46,0,0,0,0,0,21.92,0,0,0,2.44,0,0,0,0,0,0,0,9.19,0,0.7,102.07,0,0,0.57,0,0,1.41,0,0,0,0,33.61,0,0,0,0,0
 48-58,0,0,0.42,2.78,4.42,27.3,0,1.62,0,12.15,0,0,0,0,0,0.46,0,6.43,0,0.4,86.73,0,0,0,0,0,0.8,0,0,0,0,16.93,0,0,0.4,0,5.57
 60-70,0,0,0.62,9.06,0,58.07,3.97,0,0,15.65,0,0.76,0,0,0,0,0,15.91,0,1.9,94.92,0,0,0.76,0,0,0,0,0,0,0,8.94,0,0,0,0,0
 72-82,0,0,0.54,0.82,6.74,37.03,0,0,0,15.92,0,0,0.75,0.83,0,0,6.63,7.09,0.92,0,85.51,0,4.83,0,0,0,1.37,0,0,0,0,8.89,0,0,0,0,0
 84-94,0,0,0,1.55,0,40.78,0,0,1.74,5.31,0,0,0,0,0,0,0,15.81,0,1.86,88.59,0,0,1.22,0,0,4.88,0,0,0,0,11.81,0,0,0.97,0.68,0
 96-106,0,0,0,2.02,15.52,36.86,0,0,0,11.63,0,0,2.8,0,0,0.74,0,20.2,0,0,79.07,0,0,4.82,0,0,0.97,0,0,0,0,4.72,0,0,0.69,0,0.75
108-118,0,0,0,4.56,5.86,53.79,0,0.53,2.61,12.01,0.96,0,0.59,0,0,0,0,24.44,0,0,65.34,0,0,0,0,0,8.13,0,0,0,0,3.33,7.22,0.63,2.57,0,0.49
120,0,0,0,1.23,0,20.82,0,2.6,0,5.31,0,0,0,0,2.93,0,0,5.14,0,3.15,87.46,1.24,0,3.73,0,13.5,0,0,0,2.35,0,0,0,0,0,0,0
