stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,80,2525.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.77,0,0,0,0,0,0,0,0,0,0,0
  5-6,242.38,3098.01,0,10.71,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,66.47,15.88,0,0,0,0,96.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.81,66.4,0,13.82,0,0,86.72,0,0,0,0,0,17.53,0,0,0,0,0,0,0,0,0,0,1284.92,13.82,0,0,256.64,0,14.34,16.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.42,0,7.46,0,0,34.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.02,0,0,0,65.7,0,0,12.01,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.43,1.96,0.85,0,0,0,0,0,0,0,0,1.89,0,0,0,1.22,0,0,0,21.85,0,0,0,0,0,8.04,0.91,3.03,0,0,2.65,4.26,0,0,2.31,0,0
 24-34,0,0,0,0,0.86,3.64,6.67,0,0,0,3.17,0,0,0,0,5.68,1.17,0,0,5.29,0,0,2.38,55.8,0,0,0,0,0,52.49,0,0,0.65,0.91,1.01,7.8,0,0,0.69,0,0
 36-46,0,0,0,0,2.54,2.89,4.35,0,0,1.36,0,0,0,0.56,0,4.35,0,0,0,2.69,0,0,4.97,44.83,0,5.03,0,0,0,42.27,0,0,0,7.16,0,8.7,0,0,1.43,0,0
 48-58,0,0,0,0,3.79,6.44,28.04,0,0,0,5.73,0,0,0,0,8.14,0,0.43,0,5.14,1.61,0,2.65,35.56,0,0,0.74,0,0,29.37,0,0,0,1.65,0,9.58,0,0.64,0.8,0,8.62
 60-70,0,0,0,0,2.43,4.91,22.92,0,0,0.78,8.4,0,0,0,0,0,0,0,0,10.32,0,0,0.74,81.84,0.96,1.19,0.83,0,0,12.35,0,0,3.48,0,0,1.81,0,0.94,0.93,0,0
 72-82,0,0,1.65,0,3.73,36.3,10.98,0,1.55,0,12.99,0.65,0,0,0,3.55,0,0,0,6.3,0,0,2.41,42.37,0.57,2.93,0.61,0,0,22.31,0,0,0,0,0,5.39,3.84,0,1.33,1.35,0
 84-94,0,0,0.84,0,6.46,41.41,4.45,0,0,0,0.69,11.57,0,0,0,2.26,0.73,0.66,0,19.6,0,0,0,32.44,0,10.53,4.29,0,0,39.2,0,0,0,0,0,6.08,0,0,0.69,0,8.58
 96-106,0,0,0,0,7.17,60,13.34,1.42,0,2.29,9.1,3.69,0,0,0,11.42,0,0.65,0,4.7,6,3.68,0,23.92,0,4.25,7.34,0,1.44,40.89,0,0,0,1.17,0,0,0,0.87,1.37,0,0
108-118,0,0,0,0,15.46,59.16,18.03,1,0,0,7.02,6.79,0,0.51,0.61,2.32,0,0.69,0,10.91,0.44,0,1.19,26.58,0,1.65,1.27,0,0,28.3,0,0,0,2.5,0,2.21,0.96,0,0,0,4.21
120,0,0,0,1.66,27.53,59.36,28.14,1.58,5.4,0,20.77,15.8,0,0,7.03,13.39,0,1.15,4.88,19.27,3.83,19.84,0,64.85,3.27,6.26,2.43,0,0,56.92,0,0,8.64,0,0,12.44,6.56,0,28.13,0,0
