stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.98,645.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.31,0,0,0,0,0,0,0,0,0,0
  5-6,0,210.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.6,0,0,0,0,0,196.63,0,0,0,0,0,0,0,0,0,0
  7-9,5.45,8.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.13,0,0,0,10.42,0,19.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,56.72,0,0,7.92,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,1743.2,5.29,0,0,12.86,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.02,1201.59,0,7.85,0,8.47,0,0,5.1,0.86,0,0,5.38,0,0.92,0,0,7.27,3.1,0,6.3,26.76,0.91,0.85,1.24,0,0,75.59,1.97,2.79,9.11,3.65,16.12,0,0,1.63,0,0
 24-34,0,0,0,5.39,622.26,0,4.85,0,46.06,0,0,3.95,0,6.34,1.45,5.17,0,23.63,0,15.46,5.14,7.87,0.89,6.42,87.37,0,10.74,5.98,0,0,158.15,0,8.41,4.12,2.1,17.92,0,0,1.69,0,0.89
 36-46,0,0,0.95,0.84,322.09,0,3.3,0,63.72,0,0,0.59,0,0.72,4.93,5.12,0,9.97,7.64,25.87,7.08,6.55,0.71,0.6,48.22,0.64,10.95,3.87,0,0,175.33,0,1.23,0,0,24.82,0,0,5.72,0,5.05
 48-58,0,0,0,0.43,212.11,0,11.1,0,65.69,0,1.32,6.05,1.51,0,14.37,1.66,0.98,7.88,2.58,62.34,7.37,2.14,0,0,53.36,0.46,5.48,7.99,0,0,105.21,0,4.2,0.9,0,37.48,0,0,5.43,0,29.72
 60-70,0,0,0,0.68,208.24,0.82,9.95,0,54.23,4.51,1.02,3.04,5.25,3,12.25,6.13,0,17.42,1.06,33.18,18.99,3.18,1.04,0,40.4,2.18,13.33,14.17,0,0,87.59,0,1.12,0.64,0,22.71,0,0,6.69,0,35.96
 72-82,0,0,3.51,0,159.98,0,40.07,0,49.29,0,14.78,20.91,0.58,0.87,9.81,1.35,2.21,17.07,0,20.18,46.82,14.15,2,4.95,93.47,2.53,4.93,20.77,0,0,81.06,0,0.76,0,0,6.03,4.44,1.21,26.71,0,29.72
 84-94,0,0,3.36,0,289.73,5.27,16.92,0.55,101.03,1.43,3.29,28.04,1.26,0,33.57,13.29,6.31,15.87,2.14,78.82,19.91,6.84,9.2,0,55.48,1.34,28.06,16.73,0,0,191.13,0,3.49,0,0,1.9,13.99,0,18.57,0,19.53
 96-106,0,0,3.63,1.03,243.24,9.74,86.51,2.89,69.02,0,9.56,40.72,0,1.61,30.76,6.96,2.56,24.88,12.43,19.21,27.37,7.73,4.32,3.34,93.11,7.37,25.85,35.06,0,0,146.15,0,9.97,1.32,0,2.2,6.46,2.46,44.01,1.16,44.74
108-118,0,0,1.88,0.92,335.07,0,114.21,0.88,107.78,0,4.94,49.04,0,0.47,35.75,12.66,8.39,18.34,2,37.21,68.95,31.08,1.62,3.03,82.79,4.9,25.37,23.08,0,4.16,106.84,0,8.2,0.85,0,1.72,12.57,2.41,31.22,0.7,33.28
120,0,0,3.64,0,216.6,1.3,92.83,2.91,75.63,0,0,28.79,0,0,34.25,9.88,0,6.45,3.16,10,47.89,2.26,15.26,1.54,32.24,20.54,35.37,20.93,0,0,104.85,0,15.24,1.32,0,0,9.82,0,44.14,0,8.54
