stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.54,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,35.27,0,0,5.22,0,0,0,0,0,0,0
 14-21,0,0,1.63,1,0,0.9,0,0,1.19,0,0,0,0,0,0,1.72,0,31.36,0,0,0,0,0,1.01,14.8,0,0,0
 24-34,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,3.24,0,46.7,2.21,0,0,0,0,0,17.32,1.25,0,0
 36-46,0,0,0,0,0,9.21,0,0,2.58,0,0,0,0,0,0,0,0,128.15,0,0.6,0,0,1.06,0,18.72,0,0,0
 48-58,0,0,0.42,0,0,38.18,0,0,5.77,0,0,0,0,0,0,4.75,0.93,153.64,0,0.67,0,0,0,0,32.58,0,0,0
 60-70,0,0,0.67,0,0,30.15,0,1.86,2,0,0,8.09,0,0,0,3.1,0,101.9,2.85,0,0,0.63,0,0,8.74,0,0,0
 72-82,0,0,0,0,0,42.1,0,0.79,5.7,0.94,0.59,0,0,0.72,0,4.54,0,87.79,0,1.06,0,0,1.18,0,26.14,0,0.57,0
 84-94,0,0,0.58,15.44,0,51.57,0,0,10.09,0,0.83,0,0,0.61,0,18.43,0,133.37,2.81,1.77,0,0,0.7,0,16.56,0.64,1.95,0
 96-106,0,0,0,0,0,20.54,0,0,4.34,0,7.09,0.77,0,0,0,2.99,0,16.04,0,0,0,0,0,0,0,0,0,2.76
108-118,0,0,0.73,6.54,0.46,58.14,1.37,0,8.4,4.88,1.13,1.07,0,0,0,3.99,1.44,81.36,0.77,3.52,0,1.47,0,0,2.24,0,0,0
120,0,0,1.94,1.83,0,6.35,0,0,0,0,6.89,0,6.33,2.19,18.25,9.82,6.72,112.75,0,0,0,1.17,0,0,0,0,0,0
