stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.58,0,0,0,0,0,0,0,0,0,0,0,74.19,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,64.14,0,0,0,1.28,0,0,0,0,1.1,1.98,13.15,0.95,2.91,1.89,0,31.55,0,1.01,0,0
 24-34,0,0,0.61,10.44,0,0,0,1.54,0.84,0,0,1.9,1.41,0,55.76,0,0,0.75,1.32,62.88,0,0,0,2.6
 36-46,0,0,0,0,0,6.21,0,2.13,1.33,0,0,0.62,1.85,0,210.8,0,0,0,0,85,0,1.14,0,10.17
 48-58,0,0,0,1.13,0,16.14,3.16,1.42,0,0,0.7,0.59,2.11,0.55,561.79,0,0,3.14,0,81.75,0,2.34,0,3.44
 60-70,0,0,0,2.9,0,52.7,1.65,0.81,1.86,0,0,0,3.17,0,883.61,0,0,0,0,60.84,0,1.8,0,0
 72-82,0,0,0,2.48,0.92,92.02,0,1.08,0,0,0,0,8.27,0,755.32,0,0,1.24,0,20.57,0,0,0,0
 84-94,0,0,0,4.48,0,77.15,0.56,7.29,2.4,1,0,0,9.67,0,413.48,0,0,0,0,23.56,0,0.57,2.23,0
 96-106,2.68,0,0,1.87,3.93,63.93,0,3.43,2.51,1.91,5.65,0,13.72,0,373.08,0,0,0,0,0,1.2,0.98,0.56,0
108-118,0,0,0,2.4,0,73.33,0,3.89,0,2.09,0,0,3.25,0,426.08,0,0,0.61,0,11.68,0,0,0,0
120,0,0,0,1.79,0,25.24,0,0,1.38,18.47,0,0,4.3,0,702.98,0,0,0,0,4.42,7.08,0,0,0
