stage,epidermis,eye,ionocyte,neural,periderm,spinal_cord
 36-46,0,0,0,0,0,1.54
 60-70,0,0,0,0,3.15,0
 72-82,0,1.06,0,0,0,0
 84-94,1.48,0,0.57,0,0,0
108-118,0,0,0,0.69,0,0
120,1.46,0,0,0,0,0
