stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,28.57,220.42,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0
  5-6,16.49,33.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.13,0,0,3.49,0,6.52,0,0
 14-21,0,0,1.38,0.83,0,0,0,0,0,2.11,0,0,0,0,0,0.91,1.38
 24-34,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0.69,0,0,0
 36-46,0,0,0,0,0,0.62,0,0,0,2.09,2.75,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0.55
 72-82,0,0,0,0,0,0,1.03,0,0,0,0,0.51,0,0.51,0,0,0
 84-94,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.42,0,0,0,1.64,0,0,0,0,0,0,0,0
