stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,immune,lateral_line,mesenchyme,muscle,neural,otic,periderm,somites,spinal_cord
 14-21,0,0.96,0,0,0.9,0,0,0,0,0,7.36,0,0,0,0.98
 24-34,0.61,0,1.29,0,0,0,0,0,0,0,12.92,0.61,0,1.37,1.66
 36-46,0,0,0,0,0,0.8,0,0,2.8,0.85,11.19,0,0.83,0,3.43
 48-58,0,0,0.5,0,4.1,1.54,0,0,0.96,0,21.57,0,0,0,7.79
 60-70,0,0,0,0,6.42,0,0,0,0,0,14.06,0,0,0,0.61
 72-82,0,0,0,0,2.6,0,0,0,0.78,0,5.6,0,0,0,8.36
 84-94,0,0,0,1.79,0,3.89,0,0.78,2.92,0,15,0,0,0,11.1
 96-106,0,0,0,0,0,1.61,0,0,3.32,0,7.72,0,0,0,0
108-118,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0
120,0,0,5.89,0,0,0,0,0,0,0,5.08,0,0,0,0
