stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,161.68,2066.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.82,0,0,0,0,0,0,0,0,0,0
  5-6,83.23,1225.12,0,0,0,0,0,0,0,0,0,29.08,0,0,0,0,0,0,0,0,0,0,44.83,0,0,0,34.91,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.93,112.3,184.22,0,0,0,400.05,0,0,0,0,81.39,0,0,0,0,0,0,0,0,0,0,2527.29,36.27,0,0,1148.83,0,15.87,24.4,0,0,0,0,0,0,0,0,0
 10-12,0,146.81,265.2,0,19.63,0,320.19,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,4126.4,32.01,0,0,1406.88,0,0,19.07,4.75,190.42,6.05,9.29,0,0,0,0,0
 14-21,0,0,17.36,111.62,40.55,0,79.39,0,0,41.78,8.24,0,0,0,11.94,0,0,0,77.61,0,0,62.7,1355.8,40.16,10.05,7.69,41.1,0,50.4,0.91,137.91,5.05,68.69,343.9,0,0,5.31,0,0
 24-34,0,0.83,1.81,44.85,9.23,0,273.32,1.1,0.69,42.89,1.88,0,1.24,11.48,0,2.48,7.38,2.79,173.63,2.33,0,77.34,2077.43,18.59,13.83,17.97,0,0.99,39.96,0,0,2.34,10.96,391,0,0,25.58,0,0.68
 36-46,0,0,0.56,29.74,13.78,0,574.5,2.87,0,32.87,2.85,0,2.06,8.67,0,3.41,0.6,2.86,143.08,5.89,8.49,54.02,1188.28,7.47,9.01,4.35,0,0,15.6,0,0.86,0.84,0,251.33,0,0,9.18,0,5.5
 48-58,0,0,0.4,14.77,9.82,0,531.35,9.91,1.8,35.78,4.29,0,3.06,2.44,0,4.45,2.48,8.52,134.55,0.77,7,38.51,522.38,2.2,2.84,3.44,0,0,12.34,0,0,0,0,65.14,0,0,9.62,0,13.75
 60-70,0,0,0,28.3,6.83,2.15,306.87,1.31,0,46.04,2.87,0,1.45,6.61,0,1.25,0,2.94,131.94,0,17.29,9.97,342.63,6.74,1.32,3.26,0,0.71,8.7,0,0,3.32,0,12.03,0,0,2.1,0,0
 72-82,0,0,0,17.76,7.45,0,111.25,0,1.39,32.93,6.32,0,6.17,6.14,2.18,3.7,2.25,1.67,106.59,1.16,3.1,23.65,179.35,1.74,5.58,10.29,0,0,5.78,0,0,0.75,0,5.04,0.72,0,12.29,0.75,1.59
 84-94,0,0,0,20.29,5.27,0,124.56,0,2.89,51.2,8.92,0,0,2.15,1.25,0.88,0.78,0.74,142.64,1.22,8.85,16.45,165.87,1.76,0,7.14,0,0,5.33,0,0,0.57,0,6.6,3.85,0,18.01,1.97,0
 96-106,0,0,0,19.72,7.85,0,77.24,0,1.95,38.87,8.38,0,3.79,5.5,0,0.69,4.75,0.6,75.27,0,0.93,14.03,119.77,7.77,3.43,19.52,0,0,4.46,0,0,1.97,0,0,1.17,2.43,17.25,1.79,0
108-118,0,0,0.65,30.4,19.17,0.94,129.64,1.08,1.21,59.13,9.53,0,0,11.76,0.75,1.36,2.57,8.71,70.83,0,12.36,14,238.47,1.04,3.76,8.57,0,2.29,7.03,0,0,3.6,0,5.05,1.46,0,9.61,0,0
120,0,0,0,7.87,28.24,0,85.65,0,0,104.65,0,0,1.15,12.25,1.4,1.74,0,7.83,67.09,0,0,13.4,251.69,9.44,3.22,10.87,0,0,2.71,0,0,0,0,7.41,0,0,10.22,0,0
