stage,epidermis,eye,glial,gut,mesenchyme,neural,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,4.09,0,0,0,0,0
 10-12,0,0,0,0,0,3.81,0,8.12,0,0,0,0,0
 24-34,0,0,0,0,0,20.51,0,0,0,7.26,0,0,0
 36-46,0,0,0,0,0,34.59,0,0,0,31.76,0,0,0
 48-58,0,0,0.7,0,1.9,15.04,0,0,0,13.35,0,0,0
 60-70,0,0,0,1.64,9.06,19.88,0,0,0,6.37,0,2.7,1.13
 72-82,0.55,5.13,1.25,25.26,10.14,48.6,0,0,0,0,0,8.5,3.96
 84-94,0,6.84,0,17.04,24.39,30.94,0,0,0.7,0,0,6.48,0
 96-106,0.85,3.75,0,52.04,37.79,86.73,0,0,0,0,0,21.93,3.05
108-118,0,7.17,0,23.35,10.21,78.74,0.44,0,0,1.43,1.01,6.82,2.34
120,0,13.53,2.8,41.97,40.07,77.71,0,0,0,0,0,0,0
