stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,vasculature
  3-4,135.53,2392.85,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,0,0,0,0
  5-6,46.29,811.07,0,0,0,0,0,0,0,0,0,0,0,0,0,15.11,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,54.58,5.9,0,7.3,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,10.73,0,0
 14-21,0,0,0.85,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,4.98,1.1
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0.77,0,3.16,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.8,0,1.55,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.85,0,0,1,0,0,0,1.13,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.98,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0.6,0,0,0,0
108-118,0,0,0.48,0,0,0,1.53,0,3.06,2.72,0.45,1.63,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0
