stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.32,276.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.84,450.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.44,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0
  7-9,11.49,0,16.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.33,0,0,0,46.39,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.32,0,0,10.33,0,0,0,0,0,0,0,0,0,0,0,0,75.76,0,0,0,27.39,0,0,3.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.73,0,8.2,0,0,1.22,0.85,0,0,1.28,0,11.61,0,0,3.11,53.72,2.18,0,1.09,2.96,1.92,5.07,0.87,0,6.23,25.82,0,0,0,0,0
 24-34,0,0,0,5.91,0,7.33,0.62,0,11.76,0,3.45,1.54,0,0.95,14.79,0.61,0,8.29,184.02,0,0,2.43,0,13.02,0,0,0,2.86,31.62,0,0,1.48,0,0
 36-46,0,0,0,0.65,0,9.12,8.54,0,0,0,0,0,0,0,11.2,0,0,2.68,169.26,0,0.6,1.42,0,5.23,0,0.79,0,0,29.38,0,0,4.38,0,0
 48-58,0,0,0,11.79,0,84.41,12.03,1.75,15.39,0.38,0.39,0,0,0,35.31,0.37,1.81,12.71,273.24,0,1.09,0.53,0,15.38,0,0,0,0,38.39,0,0,4.1,0,0
 60-70,0,0,0,0.67,4.38,72.73,0,0,17.31,0.63,0.77,0.58,0,0,30.49,0,0,3.28,101.84,0,1.08,3.62,0,20.49,0,0,0,0,11.22,0,0.9,0.83,0,0
 72-82,0,0,0,2.59,0,50.57,0,0,7.04,0,0,0,0,0,24.48,0,2.69,1.78,108.32,0,0.86,0.9,0,8.06,0,0,0,0,8.7,0,0,16.02,1.31,1.6
 84-94,0,0,0,1.13,0,19.91,0,0,6.07,1.45,0,2.13,0,0,9.53,0,0,0,53.5,0,0,0,0,8.41,0,0,0,0,4.86,2.36,0,1.2,1.77,0
 96-106,0,0,0,3.09,1.14,43.2,0,2.04,12.73,0.66,0,4.36,0,0,12.38,0.71,0,0.57,28.85,0,0,0,0,3.63,0,0,0,0,4.5,0,0,0.6,0,0
108-118,0,0,0,1.45,0,15.85,0,0,3.3,0.66,0,1.08,0,1.29,10.93,2.49,0,4.54,56.15,0,0,0,0,7.59,0,0,0.49,0,2.97,0,0,0,0,0
120,0,0,0,3.88,1.91,21.55,0,0,22.89,4.03,0,0,0,0,23.58,0,0,2.24,34.86,0,3,0,0,6.06,0,0,0,0,0,0,0,0,0,0
