stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,xanthophores
  3-4,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0
  5-6,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0
  7-9,0,23.16,0,0,0,0,0,0,0,0,0,0,8.93,16.81,0,0,10.78,0,0,0,0,0
 10-12,0,3.62,0,0,0,0,0,0,0,0,0,0,309.89,15.87,0,0,22.39,0,0,0,0,0
 14-21,0,0,492.68,3.71,44.26,0,0,1.16,0,0,3.26,0,168.87,0,0.85,1.52,0,0,0,3.87,6.12,0
 24-34,0,0,6.36,0.81,0.98,0,0,0,0,0,0,0.99,448.63,0,10.43,45.64,0,1.07,2.06,0,12.86,0
 36-46,0,0,2.03,0,6.6,59.65,0,0,0,0,1.73,0.72,290.32,0,1.77,15.33,0,5.15,0,0,15.55,2.1
 48-58,0,0,0,0,3.77,74.21,0,0,0,0,4.86,0.39,183.15,4.26,0,24.48,0,1.18,0,0,19.96,0
 60-70,0,0,0,0.74,0.87,89.77,0,0,2.84,0,2.08,0,110.05,2.09,0,12.58,0,0,0,0,11.46,0
 72-82,0,0,0.98,0,6.34,123.32,0,0,0,0,8.79,0,100.9,0,0,17.91,0,2.07,0,0,0,2.36
 84-94,0,0,2.49,9.41,8.12,60.82,0,0,0,0,8.25,0,60.84,0,0,3.84,0,0,0,0,0,0
 96-106,0,0,0,9.73,6.57,66.58,0,0,0,0,2.78,0,41.85,0,0,5.57,0,0,0,0,0,0
108-118,0,0,2.15,0,3.05,71.63,0.67,0,0,0,7.69,0,69.71,0,0,1.52,0,0,0,0,0,0
120,0,0,4.48,0,1.07,94.32,0,0,0,2.88,0,0,91.39,0,0,5.58,0,0,0,0,0,0
