stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,108.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.95,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.25,0,0,0,8.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.8,0,17.01,0,0,0,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.65,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.27,2.39,0,8.48,0,0,2.77,0,0,0,0,0,0,0,2.66,0,0,2.87,35.68,0,0,0,0,0,0,5.21,0,0,2.81,10.89,0,0,0,0,0
 24-34,0,0,0,0.77,0,0,35.77,0,0,3.19,0,1.45,0,0,0,0,0.61,5.89,0,0,1.03,233.31,2,6.5,1.95,0,0,0,0,1.59,0,1.95,107.48,0,0,6.39,0,0
 36-46,0,0,0,0,0,0,10.83,0.95,4.22,9.65,0,1.26,0,0,0,0,0,12.21,0,0.74,5.13,699.96,6.25,8.09,1.35,0,0,2.36,3.04,0,0,0,144.45,0,0,1.46,0,0
 48-58,0,0,0,2.75,0,0,85.77,0,0.4,19.26,0,1.78,0,0,0,0,0,23.34,0.59,0.6,3.99,1045.14,4.91,0,0,0,0,1.73,0,0,0,0,167.6,0,0,0,0.9,0.8
 60-70,0,0,0,0.93,0,0,503.87,0,0,30.82,0.85,0.78,3.06,0,0.63,0,0,28.51,0,1.3,0,1202.35,0.87,3.38,8.1,0,0,0.93,0,0,0,0,213.55,0.81,0,1.46,0.98,0
 72-82,0,0,0,3.57,0,0,886.21,0,1.88,26.51,0,0,0,0,1.47,1.06,0,38.71,0.5,0.51,4.76,1145.85,1.67,4.1,9.26,0,0,0,0,0.57,0,0,86.8,0,0,3.45,1.42,5.07
 84-94,0,0,0,2.34,1.28,0.6,680.24,0.7,11.52,25.63,2.19,0,0,1.56,1.42,0,0,42.6,4.78,0,0.6,700.6,0,1.86,0.7,0,0,2.25,0,0.88,0,0,47.97,0,1.27,3.74,1.66,7.62
 96-106,0,2.97,0,11.69,2.84,3.85,983.93,0,0.71,20.61,1.03,0.79,0.59,0,6.86,0,12.59,33.98,0,0,2.07,641.57,0.8,3.75,2.54,0,0,0,0,0,0.6,0,33.41,0,1.21,0.92,7.3,5.49
108-118,0,0,0.74,9.21,0,8.38,755.13,0,0,22.86,1.41,0,0.77,0,28.82,4.05,0,39.94,0,0,0,587.21,1.45,0,4.49,0,2.29,0.5,0,1.69,0,0,3.88,1.29,0,0.57,3.1,0
120,0,0,0,1.1,5.94,3.13,531.8,4.08,0,12.5,1.18,12.24,1.92,6.91,12.15,1.88,0,38.2,0,19.65,2.57,1137.39,0,0,0,0,4.76,3.22,0,2.36,0,0,22.6,5.98,0,0,5.91,0
