stage,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,somites
  3-4,141.01,0,0,0,0,0,0,13.99,0
  5-6,63.46,0,0,0,6.44,0,0,0,0
  7-9,5.5,0,10.09,0,88.04,0,42.35,0,0
 10-12,0,22.43,0,10.2,58.83,3.39,17.37,0,9.66
