stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.23,3.69,0,0,0
 10-12,0,4.52,0,0,0,0,0,0,0,0,10.07,0,5.04,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.71,5.22,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.95,0,0,1.62,0,0,1.13,0,0
 48-58,0,0,1.19,1.94,0,0,0,1.41,0,0.49,2.3,0,0,0,0,0
 60-70,0,0,0,0,0,11.24,0,3.2,0,0,24,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,2.05,0,0,4.59,0,0,0.86,0,0
 84-94,0,0,0.87,8.31,0,0,0,2.89,3.14,0,2.14,0,0,0,0,0
 96-106,0,0,0,0,0,3.61,0,8.67,0,0,16.57,0,0,0,0,0
108-118,0,0,2.54,0,0,0,0,0,0,0,4.18,0,0,0,0.53,1.16
120,0,0,0,0,2.41,0,1.42,12.38,0,0,22.69,0,0,0,4.26,0
