stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,2146.77,12512.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.91,0,0,0,0,0,0,0,0
  5-6,5789.57,26509.49,199.79,0,0,0,0,0,0,0,1155.11,0,0,0,0,0,0,0,0,0,7929.62,353.05,0,0,1956.49,63.3,0,0,0,0,0,0,0,0
  7-9,2752.42,1433.09,5010.59,0,83.56,251.35,0,0,0,0,6358.81,0,0,0,0,0,0,0,0,0,10102.59,2009.92,0,0,30351.68,9.23,80.96,0,199.15,0,0,0,0,0
 10-12,30.95,2993.44,5942.96,0,480.76,126.34,0,0,0,0,662.53,0,0,0,0,0,0,0,0,0,6046.23,454.32,0,0,16111.7,0,54.14,97.16,25885.3,0,71.51,3.51,0,0
 14-21,3.19,8.4,74.34,346.64,8287.83,9.04,0,0,12.6,164.32,5.18,1.13,0,5.63,0,0,2901.73,0.83,0,1291.47,868.88,187.77,0,1.82,104.91,24.46,4.35,864.05,903.74,20.21,845.98,574.75,34.72,5.25
 24-34,0,0,0.81,0.61,1180.1,0,0,2.04,3.39,0.73,3.11,1.62,0.6,15.9,0,0.84,63.28,0.76,0,16.06,54.07,2.28,0,1.58,0,11.62,0,1.1,0.83,0,31.17,28.1,46.15,0
 36-46,0,0,0,3.32,74.15,0,0,1.19,0,1.07,3.2,1.91,0,19.93,0,0,13.95,0.58,0.6,5.78,21.39,0.92,0,0,0,25.64,0,0.86,0.88,0,0,6.45,12.6,0
 48-58,0,0,0,0,5.38,2.82,0,0,0,0,0.92,0,0,1.29,0,0,3.11,3.52,0,0.62,4.24,0,0,0,0,10.03,0,0,0.37,0,0,0,0,1.52
 60-70,0,0,0,2.53,2.03,1.42,0,0,0,4.35,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.62,3.72,4.81,0,0,0,0,0,0,0,2.69,0,0,7.7,1.05,1.11,0,6.73,0,0,0,0,3.93,0,0,0,0,0,0,1.67,0
 84-94,0,0,0,1.45,14.43,3.8,0.57,0,0,2.91,0.6,0,0,3.28,0.55,0,4.13,0,0,0,0,0,0.76,0,0,20.88,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.65,6.18,7.15,0,2.89,0,4.02,0,0,0,0.59,0,0,1.37,0,1.03,0,1.19,0,0.57,0,0,9.2,0,0,0,0,0,0,0,0
108-118,0,0,0,0.54,13.57,39.33,0.48,0,2.08,1.33,0,0,0,11.49,0,0,0,1.98,11.28,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0
120,0,0,0,0,1.98,7.21,0,5.84,0,4.7,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,8.78,0,0,0,0,0,0,0,0
