stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56,0,0,3.47,0,0,0,0,0,0,0,0
 14-21,0,3.38,1.5,0.85,0,0,6.58,0,0,0,2.91,0,0,9.88,10.8,0,0.95,0,0,0,0.9,553.96,157.06,2.42,0,0
 24-34,0,0,0,3.25,23.22,0.89,12.67,0,0.71,0,6.73,0,0,14.05,52.1,4.39,0,0,0,4.97,0,162.27,112.28,10.76,0,0
 36-46,0,0,0,2.15,16.14,3.11,7.8,0,0,0,3.09,0,0,14.6,31.47,0,0,0,0,0,0,51.59,2.09,1.33,0,1.01
 48-58,0,0,0,7.07,12.54,0.42,0.38,0,0,0,7.6,0,0,3.05,26.37,0,0,0,0,0,0,7.98,0,4.18,0.79,0
 60-70,0,0,0,1.74,16.66,1.13,0,0,0,0,6.28,0,0,17.12,7.46,0,0,0,0,0,0,4.1,0,0,2.74,0
 72-82,0,0.5,0,4.54,31.06,7.05,0,0,0,0,8.61,0,0,15.25,25.63,0,0,0,0,1.08,0,4.59,0,3.58,2.51,0
 84-94,0,0,0,8.57,40.97,9.66,2.33,0,0,0,2.3,0,0,4.2,14.55,0,0,0,0.77,0.65,0,24.85,0,3.16,2.79,0
 96-106,0,0,1.14,11.57,47.51,4.3,4.85,0,0,5.58,15.87,0.97,3.75,7.37,25.54,0.62,0,1.2,0,1.07,0,10.1,0,2.85,1.2,1.67
108-118,0,1.94,0,11.39,60.27,3.33,4.16,1.14,0,0,10.42,0,0,10.46,19.16,0,0,0,0,0,0,13.32,0,0,1.77,0
120,0,0,0,1.85,87.86,0,1.85,0,0,0,1.57,0,0,4.79,29.32,0,0,0,0,0,0,7.95,0,0,9.73,0
