stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,42.54,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.02,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,38.56,0,0,0,0,0
 10-12,6.35,0,7.07,0,0,0,0,0,14.95,31.75,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,2.71,0.95,1.01,1.35,2.69,0
 24-34,0,0,1.98,0,0,1.37,0,0,21.94,0,0,0,4.77,4.06
 36-46,0,0,0,0,1.31,0,0,0.66,1.9,0,0,0,0,1.39
 48-58,0,3.95,4.11,0,0,0.97,0,0,1.4,0,0,0,2.83,0.4
 60-70,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0.96
 72-82,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.17,0,0,0,0,0.57,0,0,0,0,0
 96-106,0,0,0,0,0.95,0,0.76,0,0,0,0,0,0,0
108-118,0,0.47,0.69,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0
