stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,126.01,1807.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.84,0,0,0,0,0,0,0
  5-6,0,344.82,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,16.19,0,0,0,0,0,0,0
  7-9,0,0,0,3.75,0,0,0,0,0,0,16.69,0,0,0,0,42.8,0,0,12.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,8.93,9.3,0,0,3.1,5.33,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.17,0.9,0,0.95,1.87,0,0.87,0
 24-34,0,0,0,0,0,1.16,0,0,1.11,0,0,0.64,0,0,0,14.35,0,0,0,2.74,0,0,0,14.98,0,0,0
 36-46,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,19.47,0,0,0,2.49,0,0,0,11.7,0,0,0
 48-58,0,0,0,0,1.68,0,6.28,0,14.24,0,0,0,0,0,0,38.73,0,0,0,0.5,0,0,0,16.36,0,0,0
 60-70,0,0,0,0,0,0,49.14,0,76.71,0,0,6.3,0,1.71,0,52.71,0,0.65,0,0,0,0,0,29.42,0,0,0
 72-82,0,0,0,0,0,0,30.37,0,74.09,0,0,0,0,1.95,0,59.77,0,0.79,0,0,0,0,0,21.45,0,0,0
 84-94,0,0,0,0,0,0,15.37,0,87.93,0,0,1.31,0.59,0.58,0,40.41,0,0.82,0,0,0,0,0,12.01,0,0,0
 96-106,0,0,0,0,0,0,5.99,0,160.05,2.13,0,1.81,0.61,0,0,46.28,0,0.9,0,0,0,0,0,4.22,0,0,0.61
108-118,0,0,1.13,0,1.88,0,17.84,1.77,130.15,0,0,0.9,0,0,0,38.37,0,0,0,0,0,1.08,0,2.74,0.43,0.59,0
120,0,0,0,0,1.69,0,22.71,0,114.26,0,0,0,0,0,2.38,50.13,0,0,0,0,0,0,0,3.82,0,0,0
