stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,51.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0
  5-6,0,75.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.37,5.92,7.76,0,0,10.17,0,0,0,7.61,0,0,0,0,0,0,0,0,0,100.56,0,0,0,20.75,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,98.33,18.01,0,0,54.87,0,6.28,0,5.41,0,0,0,0,0
 14-21,0,0,0,2.07,1.92,1.77,0,0,0.97,0,0,0,0,0,0,1.71,0,0,1.82,12.2,4.91,0,0,0,0,0,0,1.16,3.71,0,0,0,0
 24-34,0,0,0,1.28,0,3.99,0.6,0.61,1.42,0,0,0.64,0,0,0,7.2,0,0,1.94,62.05,0,0,0,0,0,0,0,0,8.72,0,0.68,0,0
 36-46,0,0,0,0.77,0,5.99,0,0,1.27,0,0,3.34,0,0,0,8.7,0,0,2.35,61.3,0.63,0,0.57,0,1.66,0,0,0,10.66,0,0,0,0
 48-58,0,0,0,0,0,9.99,0,0.67,3.91,0,0,5.59,0,0,0,12.64,0,0.89,1.14,75.73,0,0,0,0,0,0,1.71,0,10.85,0,3.21,0,0.54
 60-70,0,0,0,5.48,0,24.62,0,2.2,18.69,0,0,3.27,0,5.7,0.71,11.31,0,0.81,0.6,90.3,0,0,0,0,0.86,0,0,0,18.07,0,0,0,0
 72-82,0,0,0,6.25,0,22.02,0,0,11.41,0,0.9,5.9,0,0,3.43,18.54,0,0.7,1.48,48.56,0,0,0.99,0,7.15,0,0,0,6.33,0,1.24,0.53,12.79
 84-94,0,0,0,2.09,0,33.32,0.63,0,5.77,0,0,6.83,0,0,3.81,12.95,3.03,0,1.76,93.11,0,2.05,1.89,0,0,0,0,0,10.03,0,3.12,0,0
 96-106,0,0,0,1.95,0,24.77,1.04,0,12.58,0,0,5.04,0,9.55,0,16.55,0,0,0,48.21,0,1.58,1.67,0,0,0,0,0,6.15,0,6.67,0,0
108-118,0,0,0,2.47,0,18.04,0,0.53,18.43,0,0,2.73,0,0,0,27.18,0,1.11,2.37,82.75,0,0,0,0,0,0,0,0,0,2.41,1.04,0,0
120,0,0,0,1.69,1.18,22.06,1.05,0,33.91,0,0,3.39,6.63,0,0,23.2,0,0,3.49,148.94,2.83,0,4.11,0,1.73,0,0,0,9.93,3.48,0,0,12.83
