stage,axial,blastomeres,epidermis,erythrocytes,eye,hatching_gland,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,16.65,150.03,0,0,0,0,0,0,0,0,0
  5-6,0,248.34,0,0,0,0,6.44,0,0,0,0
  7-9,0,5.92,0,0,0,0,85.08,20.17,0,0,0
 10-12,0,0,0,0,5.35,4.52,54.06,15.09,0,15.45,0
 14-21,0,0,3.7,0.93,0,0,1.23,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.94
 36-46,0,0,0,0,0,0,0.57,0,0,0,0
 48-58,0,0,0,0,0,0,0.86,0,0,0,0
 60-70,0,0,0.6,0,2.84,0,1.12,0,0,0,0
 84-94,0,0,0,0,0,0,2.82,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.69,0,0
108-118,0,0,0,0,0.83,0,0,0,0.55,0,0
