stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,217.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,137.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.95,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.99,0,0,0,16.25,0,5.28,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.72,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0,0,0,12.11,0,0,2.01,0,0,0,4.88,0,1.65,0,1.92
 24-34,0,0,0.97,0,0,5.78,0,0,0,0,0,1.36,0,3.17,0,18.53,0.97,72.86,0,0,0.78,0,0,0,7.45,0,0.84,0,0
 36-46,0,0,0,0,0,1.16,0,0,0,0,0,1.18,0,0.84,0,30.19,0,87.26,0.84,0,0.75,0,0,0,13.44,0,0.69,0,0
 48-58,0,0,0,0,0,4.57,0.54,0,0,0,1.21,3.51,0,1.04,0,50.69,0.5,81.57,0,0,0,0,0.42,0,8.91,0,0,0,1.47
 60-70,0,0,2.96,0,0,22.06,0,0.73,2.69,0,0,0,0.98,0,0,64.56,0,196.57,0,0,0,0,0,0,9.55,0,0,0,0
 72-82,0,0,0.49,0,0,73.11,0.81,0,0.95,0,0,0,1.05,0,2.54,88.46,0,260.46,0,1.96,0,0,0,0,7.06,0,0,0.54,0
 84-94,0,0,0.74,0,2.08,70.18,0,0,1.66,0,0,0.74,0.62,0,7.16,72.04,0,150.69,0,0,0,0,0,0,1.33,0,0,0,0
 96-106,0,0,1.42,0,3.98,73.14,0,0,0.76,2.2,0,1.52,1.14,4.08,1.19,69.68,0,141.74,0,0,0,0,0,0,1.45,2.5,0,0,0
108-118,0,0,0,1.37,14.7,39.93,0,0,3.95,1.55,0,1.17,7.79,0,1.01,54.62,0,238.75,0,0,0.66,0,0,0,0,0,0,0,0
120,0,0,4.27,0,5.47,27.43,0,0,0,0,0,0,0,0,0,52.88,0,275.69,0,0,0,0,1.09,0,5.23,0,0,0,0
