stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,684.06,15326.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.29,0,0,0,0,0,0,0,0
  5-6,791.57,16904.45,6.55,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,413.92,13.91,0,0,97.43,146.19,0,0,0,0,0,0,0,0
  7-9,137.94,132.27,182.5,0,0,415.85,0,0,0,0,108.41,0,0,0,0,0,0,0,0,0,4404.37,108.58,0,0,1054.38,11.15,0,0,0,0,0,0,0,0
 10-12,0,74.14,56.17,0,12.34,175.11,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,1489.03,24.01,0,0,465.36,0,8.37,26.29,6.84,0,0,0,0,0
 14-21,0,0,1.46,12.61,3.49,7.39,0,0,2.6,0.85,0,0,0,0,0,0,1.74,2.44,0,4.34,149.8,2.35,0,3.32,0,2.28,11.47,0,8.79,25.88,0,1.09,0,0
 24-34,0,0,0,2.07,0,14.02,0.8,0,3.38,0.67,0,0,0,0.92,0,0,0,12.89,0,2.86,170.09,0.64,0.75,2.1,0,3.07,0,0,1.97,31.18,0,4.41,0,1.2
 36-46,0,0,0,13.65,0,20.68,0,1.17,24.27,0,0,0.72,0,0,0,0,0,12.06,0,3.87,115.26,0,0.63,0.58,0,23.99,0,0,0,21.08,0,0.58,0,0
 48-58,0,0,0,0.39,0,44.88,0,1.45,16.56,0,0,0,0,0,1,0,0,11.72,0.4,2.07,61.59,0,0,3.92,0,0.45,0,0,0,17.51,0,2.2,0,0
 60-70,0,0,0,2.2,0,26.55,0,0,9.44,0,0,0,0,0,0.63,1.98,0,7.35,0,3.15,29.79,0,0,0,0,0,0,0,0,9.17,0,0,0,0
 72-82,0,0,0,0,0,12.39,0,0,5,0,0,0,0,0,0,0,0,4.75,0.93,0.8,16.58,0,0,1.35,0,0,0,0,0,3.58,0.87,0,0,0
 84-94,0,0,0,2.43,0,2.87,0,0,4.56,0,0,0,0,0,0.61,0,0,13.03,0,2.79,13.28,0,0,0,0,0.69,0,0,0,0,0,2.33,1.25,0
 96-106,0,0,0,0,0,3.26,0,0,3.99,1.17,0,0.86,0,0,0,0,0,4.43,0,1.38,3.52,0,1.47,0,0,5.29,0,0,0,0,0,0,0.58,0
108-118,0,0,0,6.15,0,1.68,0,0.51,7.95,0,0,0,1.09,0,0.81,0,0,4.24,0,1.85,13.41,0,0,0,0,0.43,0,0,0,4.57,0,0,0.57,0
120,0,0,0,0,0,8.17,0,0,2.93,0,0,0,0,0,0,0,0,3.8,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0
