stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,102.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.76,0,0,0,0,0,0,0
  5-6,65.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.37,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.29,0,0,16.04,0,63.54,5.5,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0,13.75,0,0,0,0,0,8.7,0,0,0,0,0,0
 14-21,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.58,0,0,0,0,2.75,0,0,1,0,0,0,0
 24-34,0,0,6.12,0,3.08,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37.37,0,3.89,0,0,0,0,0,6.58,0,0,1.1,0
 36-46,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,93.33,1.19,0,0,0,0,0,0,14.11,0,0,0,0
 48-58,0,0,0.54,0,25.42,0,0,0,0,0,0,4.81,0,0,0,1.65,0,0,0,140.09,0,0,0,0,0,0,0,16.79,0,0,0,2.69
 60-70,0,0,2.52,0,149.7,2.57,0,0,2.09,0.96,0,0,0,0,0,1.42,0,0,0,234.08,0,0,0,0,0,0,0,34.37,0,0,0.93,0
 72-82,0,0,8.58,2.81,229.89,0,0,5.65,2.94,6.55,0,0,0,0,0,3.35,0,0,0,275.66,0,0.59,0,0,0,0,0,52.91,1.2,0,1.32,0
 84-94,0,0,7.18,0,131.68,0.75,0,0,5.11,9.43,0,0,0,0,0,9.58,0,0,0,202.7,0,1.9,0,0,0,0,5.42,25.22,2.42,0.64,0,0
 96-106,0,0,29.79,2.27,170.2,0,0.56,0,0.71,26.22,0,0,1.79,0.75,0,2.18,0,1.05,3.19,138.99,0.94,2.31,0,2.14,2.75,0,0,24.81,2.51,0,0,0
108-118,0,0.97,20.44,0,151.42,0,0.6,0,1.87,27.85,0,0,0,0,0,0.92,0,0,0,230.02,0,2.93,0,0,2.94,0,0,5.74,4.36,0,0.65,0
120,0,0,41.04,0,108.92,0,0,0,5.78,19.84,0,0,4.81,4.79,1.61,16.8,1.15,0,0,238.2,0,0,0,0,0,0,0,8.83,0,0,0,0
