stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,0,12.63,10.4,11.65,0,0,0,1.02,1.66,0,0,3.86,1.06,92.54,0,1.03,0,0,4.89,1.14,5.44,26.23,0.96
 24-34,0.96,0.59,22.08,0.62,0,1.38,0,0,0,0.66,0,1.14,0,70.56,1.45,0,0,1.24,0,0,0,11.78,19.93
 36-46,0,15.95,0,5.15,0,0,0,0,0,1.63,0.72,6.38,0,21.63,0,0,0,5.52,0,0,0,10.17,1.01
 48-58,0,3.14,0,1.8,0.47,4.29,1.66,0,0,0,0,1,0,20.46,0,0,0,2.7,0,0,0,3.57,0
 60-70,0,8.13,0,3.75,0,0,0,0,0,0.92,0,2.27,0,14.37,0,0,0,4.28,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.49,0,0,0,0,0,1.35,4.69,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,5.23,0,0,0,0,0,0,0,0,0,7.67,0,0,0,4.95,0,0,0,1.52,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3.53,7.07,0,0,0,0,0
120,0,5.64,0,0,0,2.39,0,0,0,0,4.64,0,0,0,0,0,0,17.01,0,0,0,0,0
