stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,256.69,4340.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.01,0,0,0,0,0,0,0,0,0,0,0
  5-6,244.06,3862.07,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.66,0,0,0,65.03,0,71.15,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.38,136.5,115.36,0,0,0,232.71,0,0,0,0,69.39,0,0,0,0,0,0,0,0,0,0,0,2826.53,37.41,0,0,1327.34,0,16.17,91.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,54.91,80.59,0,0,0,209.65,0,0,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,2716.71,21.62,0,0,1187.69,0,0,47.01,0,83.7,0,6.54,0,0,0,0,0,0
 14-21,0,0,10.39,123.85,27.47,0,129.63,0,0,17.27,3.94,2.12,1.13,3.42,11.38,0,1.12,0,2.15,55.18,0,0,46.47,1271.73,4.59,3.1,11.53,29.15,0,24.04,3.43,89.11,3.3,0,85.87,265.53,0,0,3.57,0,3.79
 24-34,0,0.83,2.6,37.81,4.55,0,291.37,1.21,0.69,26.24,7.64,0,1.64,3.4,21.84,2.54,0,1.4,0.63,112.09,0,0,31.18,1414.09,1.13,2.89,9.8,0,0,55.95,0,0,4.11,0,4.65,230.57,0,0,24.95,0,16.2
 36-46,0,0,0.56,22.2,0,0,257.14,1.12,0,36.14,0,0,3.35,17.46,6.11,0,2.08,0,10.28,63.69,0.65,0,25.56,649.35,2.6,8.52,4.82,0,0,32.63,0.91,0,1.87,0,0,105.37,0,0,5.39,0,5.04
 48-58,0,0,0.42,27.93,6.5,0,299.39,0.93,1.19,37.49,0,0,2.65,12.21,6.47,0.61,1.53,5.59,0,78.91,0,2.16,26.73,353.47,4.09,3.65,3.02,0,0,18.2,0,0,2.65,0,2.82,46.48,0,0,2.41,0.48,6.45
 60-70,0,0,0,30.45,0,0,161.52,5.26,0.86,54.14,1.94,0,0,4.85,4.76,1.32,1,2.6,0,38,0,9.75,7.59,266.87,2.9,5.31,2.61,0,1.08,8.62,0,0,0.6,0,0,22.47,0,0,5.58,0,4.09
 72-82,0,0,0,19.53,2.22,1.8,97.62,0,0.69,26.27,2.9,0,3.07,4.67,2.93,0.72,0.68,1.59,1.18,58.18,0.78,1.82,13.65,189.73,0,12.42,1.5,0,0,2.32,0,0,0,0,0,2.29,0,0,21.58,0.67,9.56
 84-94,0,0,1,24.22,1.59,0,103.74,1,0.6,31.86,11.71,0,0,14.39,4.36,3.44,0,2.78,4.2,41.58,0,2.33,18.52,144.52,3.68,2,6.97,0,0.57,17.59,0,0,4.73,0,0,4.12,1.52,0,10.06,0.91,0
 96-106,0,0,0,13.03,4.29,0,47.76,0.76,0.71,32.7,15.6,0,3.95,12.79,1.98,0,0,1.19,0.82,34.54,0,2.63,9.62,107.1,0.57,15.14,1.62,0,1.61,20.22,0,0,1.37,0,0,13.17,0,0,9.02,2.54,0
108-118,0,0,0,30.76,5.36,2.29,49.63,0.74,2.99,49.67,2.87,0,0,13.83,5.3,2.22,0.67,1.31,0,47.58,1.01,2.15,7.21,137.28,3.61,8.49,4.95,0,0.76,17.09,0,0,1.67,0.44,0,0.78,0.81,0.82,20.08,0.54,4.03
120,0,0,0,28.56,6.69,0,73.05,0,0,87.06,6.98,0,0,15.55,1.1,1.74,2.39,0,0,38.74,0,0,16.35,251.48,3.86,1.27,1.4,0,0,9.33,1.53,0,0,0,0,0,1.09,0,29.5,0,0
