stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,0,30.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.1,0,9.56,0,0,29.24,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,121.92,9.52,0,0,51.05,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,4.52,0,6.05,13.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.9,3.67,0,0,67.27,0,0,0,0,3.87,3.28,0,0,0
 14-21,0,0,0.85,10.64,2.57,0.85,0,0,0,1.25,0.85,0,0,0,0,0,0,0,2.8,0,0,4.55,31.55,0.81,0,0,0.88,0,5.28,1,0,4.13,14.96,0,0,0
 24-34,0,0,0,0,0,1.74,0,0,0,3.35,0,0,0.67,0,0,0,0,0,3,0,0,1.86,107.01,0.77,2.16,1.28,0,3.2,0,0,0,0,24,0,0,0
 36-46,0,0,0,0,0,12.79,0,0,0.8,1.25,0,0,0,7.87,0,0,0,0.7,3.73,0,0,1.76,148.83,1.5,1.62,0,0,1.22,0,0,0,0,37.18,0,1.37,0.66
 48-58,0,0,0,3.33,0,25.92,0.92,0,0,14.69,0,0,1.42,0,0,0,1.04,0,4.65,0,0,1.31,171.53,0,0.81,7.06,0,0,0,0,0.68,0,44.99,0,0,0.89
 60-70,0,0,0,0,0,34.21,0,0,1.06,0.64,0,0,0,0,0,1.02,0,0,6.61,0,0,0.6,162.7,0,0,1.58,0,2.41,0,0,0,0,23.03,0,0,0
 72-82,0,0,0,0.86,0,45.38,1.43,0,1.47,3.27,0,0,0,0,0.64,0.61,0,0,5.65,0.56,0,0,126.62,0,2.19,0.73,0,2.63,0,0,0,0,18.34,0.81,2.34,0.57
 84-94,0,0,0,2.93,0,34.24,0,0,0.87,13.46,0,0,0,1.58,0,0,0,9.73,4.66,0,0,0,103.29,0,0,0,0,4.66,0,0,0,0,15.7,0,0,0.78
 96-106,0,0,0,0,0,40.95,0,0,0,12.52,0,0,0,0,0,0.63,0,0,12.75,0,0,0,99.04,0,0,3.54,0,2.52,0,0,0,0,0,0,0,0
108-118,0,0,0,0.94,0,32.33,0,0.45,0.5,4.93,0,0,0,0,5.15,0,0,0,12.62,0,1.62,0,68.67,0,1.04,1.1,0,0.85,0,0,0,0,3.27,0,0,0
120,0,0,1.66,1.69,0,12.35,0,0,0,5.09,0,0,0,2.23,0,0,0,0,4.63,0,0,0,104.84,0,2.49,5.75,0,1.06,0,0,0,0,0,0,0,14.6
