stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0.99,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0.74,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,5.1,0,0,0,0,0
 60-70,0,0,0,6.98,0,0,0,1.68,31.77,0,0,0,0,17.45,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,7.16,0,0,0,1.54,36.94,0,5.65,0,0,16.28,0,0.5,0,0,3.91,0,0,0,0,1.81,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,111.29,0,0.58,0.99,0,0,0,0,0,0,10.01,0,0,0,0,7.69,0,0,0,3
 96-106,0.81,0.57,1.67,3.16,1.23,0,0,3.43,172.15,0.61,0,0,0,0,0,0.94,3.12,0,30.34,0,0,0,1.7,0,0,0,0,0
108-118,0,2.86,0,7.92,1.37,1.12,1.15,3.77,452.17,0,1.86,0,1.52,0,1.02,2.42,0,0.49,23.46,0.53,0.89,2.26,1.04,4.52,1.28,1.08,1.24,0
120,0,14.68,0,20.64,0,0,0,14.66,1346.12,0,2.68,0,0,106.8,0,1.68,0,1.1,33.82,1.09,0,0,2.87,0,0,0,0,0
