stage,blastomeres,endoderm,eye,fast.muscle,immune,neural,otic,pgc,spinal.cord,vasculature
  3-4,270.64,0,0,0,0,0,0,0,0,0
  5-6,106.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.37,0,0,0,0,0,0,0
 10-12,0,5.78,0,0,0,0,0,7.55,0,0
 14-21,0,0,0,0,0,0,0,0,1.35,0
 48-58,0,0,2.04,0,0,0,0,0,0,0
 60-70,0,0,1.16,0,2.73,0,0,0,0,0
 72-82,0,0,0,0,6.94,0.77,0,0,0,0
 84-94,0,0,0,0.91,5.83,1.03,0,0,0,0
 96-106,0,0,0,0,12.52,2.88,0,0,0,0
108-118,0,0,0,0,11.29,0,0,0,0,0.87
120,0,0,0,0,18.47,0,13.55,0,0,1.54
