stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,hatching.gland,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord,vasculature
  3-4,35.74,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,76.39,0,0,0,0,24.34,0,0,0,10.51,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,42.6,0,0,0
 10-12,0,0,0,3.39,0,0,0,0,0,0,3.49,7.24,0,0
 14-21,0,0,1.62,0,0,0,0,0,0,0.88,6.02,0,1.13,0
 24-34,0,0,0.74,0.59,0,0,0,0,3.26,0,14.94,0,3.68,0.73
 36-46,0,0,0,2.53,1.13,2.36,0,0,1.82,0.9,5.28,0,0.78,0
 48-58,0,0,0.58,3.33,0,0,0,0,0.41,0,5.9,0,0,0
 60-70,0,0,0,2.29,0,1.65,0,0,1.14,0,8.77,0,0,0
 72-82,0,0,0,1.05,0,0,0,0,1.87,0,1.15,0,0,0
 84-94,0,0,0,0.6,0,0,0,0,1.4,1.09,0,0,0,0
 96-106,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0
108-118,0,0,0,0.7,0,0.44,0,0.8,0,0,1.9,0,0,0
120,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0
