stage,epidermis,eye,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,neural,otic,pericytes,periderm,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 24-34,0,0,2.56,0,0,0,0,0,0.9,0,0,0,0,0,0,0
 48-58,0,1.89,0,0,0.47,0,0,0.54,0,0,0,4.39,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0
 72-82,0,0,0,0.91,0,0.77,0,3.29,0,0,2.23,0,0,0.52,0,2.35
 84-94,0,2.47,0.8,1.6,0,1.6,0,0,1.61,0,0,0,0,1.11,0,3.02
 96-106,0,0,0,3.49,0.79,0,0.68,0,0,1.08,2.9,0,0,0,0,8.92
108-118,0.49,0,0,2.78,0.58,0,0,0,0.9,0,0,0,0,6.47,0,0
120,0,0,0,8.88,2.35,0,0,0,3.14,0,0,0,1.99,0,0,2.64
