stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.77,493.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.62,941.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.93,0,0,0,0,0,37.39,0,0,0,0,0,0,0,0,0,0
  7-9,10.89,0,0,46.37,0,0,0,39.06,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,342.93,15.22,0,0,127.16,0,0,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,26.05,0,28.19,0,0,0,26.71,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,343.75,0,0,0,140.52,0,0,0,0,43.21,0,0,0,0,0,0,0
 14-21,0,0,1.32,4.03,23.88,13.29,0,20.28,0,0,0,3.57,2.76,0,0,0,0.88,0,0,0,0,19.58,0,0,12.97,292.11,1.9,1.1,0.99,4.7,0,1.99,0,44.09,3.32,4,40.06,71.86,0,3.2,0,0
 24-34,0.88,0,0,4.3,21.59,8.8,0,59.48,0,0.8,2.36,9.67,3.8,0,3.97,0,2.67,1.32,3.44,6.6,0,63.07,0,0,27.51,749,0.79,5.12,10.18,0,0,9.61,0,0,1.25,0,10.12,147.62,0,16.4,0,2.78
 36-46,0,0,0,0,8.82,0,0,79.77,0,0,1.94,26.77,1.58,0,0,5.72,0,10.34,0.75,2.14,0.87,44.1,1.5,1.23,16.21,497.01,0.55,4.41,0.61,0,0,23.21,0,0,4.49,1.13,0,82.27,0,14.48,0,5.83
 48-58,0,0,0.46,0,12.89,0,0,133.8,0,1.77,2.26,57.64,0.78,0,4,2.4,6.83,0.79,0.87,4.01,1.28,43.55,0,6.82,11.95,339.8,13.9,6.38,1.97,0,0,21.82,0,0,0,0,0,77.76,0,5.57,0,1.78
 60-70,0,0,0.57,0,8.12,0,0,158.68,0,0,0.86,20.36,0.95,0,0,4.09,3.74,0.88,0,0,0,54.52,1.14,2.27,1.82,198.77,0,3.7,0.77,0,0,29.65,0,0,0,1.58,0,25.06,1.61,9.21,0,4.69
 72-82,0,0,0.68,0,11.53,0.49,0,91.95,0,0,0,20.4,1.13,0,0.7,0,0.6,6.42,0.72,0,0,52.45,0,3.74,2.5,137.49,0,0,1.7,0,0,7.06,0,0,0.5,0,0,12.3,0,14.25,3.79,13.67
 84-94,0,0,0,0,6.03,0,0,47.15,0,5.16,0.61,19.76,1.03,0,0,13.54,1.03,1.81,2.06,3.83,2.16,39.31,0.84,5.73,1.36,79.53,1.26,0,2.55,0,0,13.99,0,0,0,0,0,16.87,1.27,9.44,0.68,2.32
 96-106,0,0,1.68,0,17.89,11.2,0,75.55,0.86,0.82,2.28,18.26,3.45,0,1.3,2.5,1.26,1.72,8,0.81,0,54.39,2.95,0,3.74,117.14,2.81,0,2.78,0,2.93,20.44,0,0,0.73,0,0,26.33,0,15,2.14,2.53
108-118,0,0,0.94,0,15.67,0,0.47,41.6,0,1.2,4.81,43.97,1.5,0,0.56,2.16,0.5,4.03,0.6,11.38,0,69.36,0,0.5,8.96,166.41,2.91,5.77,2.04,0,3.85,10.47,0,0,1.84,0.59,0,5.86,1.06,7.82,1.42,1.73
120,0,0,0,0,16.62,0,0,101.48,0,3.24,2.36,18.21,6.43,0,0,3.2,1.4,0,1.77,7.47,0,41.81,0,5.26,5.5,166.25,6.08,0,0,0,0,23.15,0,0,0,0,0,0,0,13.81,0,0
