stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,11.07,0,0,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0.92,0,0,11.24,0,0,0,0,0,0,0,0.88,0,0,0,1.14,0,0
 24-34,0,0,0,0.8,0,0,4.59,0,0,0,6.43,0.69,0.86,0,0.6,0,0,0,0,3.29,0,0,162.21,0,13.16,0,1.61,1.06,0.7,0,0,25.54,0,0,4.55,0,0
 36-46,0,0,0,0,0,0,12.89,0,0,0,8.35,1.45,0.79,0,0,0,0,0,0,3.12,0,0,516.94,0,51.36,0,0,0,0,0,0,60.21,0,0,0,0,0
 48-58,0,0.46,0,3.62,0,0,165.9,0.78,5.13,0,24.96,0,0,0,0,0,0,0,0,8.62,0.6,1.34,1002.45,0,17.16,0,0,2.85,0,0,0,66.47,0,1.92,0,0.9,0
 60-70,0,0,0,2.61,0,0,1192.28,0,1.03,0,29.04,0,0,1.9,0,0,0,0,0,23.2,1.04,1.6,1941.48,0,22.27,0,0,8.59,0,1.84,0,68.9,0,0,1.05,0,0
 72-82,0,0,0,20.94,4.59,0,1761.38,0,0,0,41.81,3.19,0,0,0,0,0,1.2,0,26.32,2.15,0,2255.69,0,46.53,5.76,0,0.52,0,0,0,77.38,7.92,0,2.03,1.65,6.46
 84-94,0,2.56,0,22.63,2.17,0,1147.49,0,0,0,36.72,3.23,0,3.02,0,0,0,0,0,28.43,7.3,4.13,1580.49,0,40.19,10.48,0,0,3.28,0,0,50.08,28.02,0,7.38,2.8,0
 96-106,0,0,0,18.51,0,0,1369.73,0.58,0,2.45,60,1.8,0,5.64,0.92,1.06,0.75,4.35,0,22.65,0,0,1380.71,0,37.44,3.57,0,9.52,3.83,0,0,29.13,25.42,4.06,4.87,1.02,0
108-118,0,0.54,0,18.62,0.54,2.51,799.86,0,0.6,1.97,24.8,3.06,0,0.44,0.85,0,0,0,2.01,18.11,6.27,0,1449.48,0,29.81,6.57,1.89,1.41,0,0,0,15.42,26.59,0,4.09,0,12.18
120,0,0,0,40.1,10.93,0,783.01,0,0,0,88.54,1.31,0,4.78,1.05,6.33,0,0,6.6,15.28,0,0,2748.21,1.25,30.7,13.31,0,3.23,6.56,0,0,48.2,12.35,0,0,0,0
