stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,157.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0
  5-6,48.27,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,47.14,0,0,8.12,0,0,0,0,0,0,0
 10-12,222.21,0,11.39,0,26.98,0,0,0,0,3.97,0,0,0,0,0,226.18,6.19,0,82.1,0,1750.71,0,0,0,0,0
 14-21,0,0,1.84,0,14.5,0,0,0,0,0,0,0,0,0,5.82,15.63,0,0,0,0.87,259.86,1.04,0,0,0,0
 24-34,0,0.67,5.98,0.71,0.69,0,0,0,0.96,0,0,0,0,1.51,2.16,10.72,0,0,0,0.91,126.89,0,2.04,10.59,0,0
 36-46,0,0,0,6.6,0,0,1.35,0,5.08,0,0,0,0,0,0.69,3.11,0,0.91,0,0,118.48,0,0.81,0,0,0
 48-58,0,0,0.4,0,0,0,0.56,0,6.48,0,0,6.73,0,0,0,5.85,0,0,0,0.45,47.71,0,0,0,0,0
 60-70,0,0.7,0,0,0,0,1.52,0,4.47,0,0,0,1.15,4.22,0,12.75,6.36,9.66,0,0,77.38,0,1.2,0,0,0
 72-82,0,0.5,0,0,1.41,3.14,2.21,3.99,5.94,0,0,0,0,0.59,0,13.82,0,0,0,1.89,55.84,0,4.9,0,0.49,0
 84-94,0,0,0,0,0,0,1.92,0,5.53,1.24,0.66,0,0,8.04,2.6,4.82,0,0,0,2.38,98.5,0,0,0,0,0
 96-106,0,0,0,0.67,0,0,16.6,0,6.52,0,0,0.91,0,0.6,3.56,24.12,0,0,0,1.36,90.49,0,0,0,0,0
108-118,0,1.3,0.46,1.04,0,0.52,3.33,0,8.71,0,0,0,0.43,9.21,2.74,5.67,0,0,0,6,93.14,0,0,0,0,4.17
120,0,0,1.66,1.59,0,0,8.42,0,20.85,0,0,0,0,1.14,0,29.67,0,0,0,2.64,113.1,0,0,0,0,0
