stage,endocrine.pancreas,eye,neural,olfactory,spinal.cord
 48-58,0,1.99,0,0,0
 60-70,0,0,7.71,0,0
 72-82,0,1.65,4.32,0,1.08
108-118,0.84,0,3.03,1.1,0
