stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.46,43.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,127.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.1,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,57.46,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.99,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.44,0,0,9.48,0,0,0,2.38,0,0,0,0,0,0,0,0.83,0,0,3.98,14.83,0,0,0,0,0,0,0,4.01,4.85,0,1.13,7.04,0,0,0,0,0
 24-34,0,0,0,4.91,0,0,34.69,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,1.01,65.14,0,2.56,0.64,0,0,5.27,0,0,14.4,0,0,18.17,0,0,1.6,0,0
 36-46,0,0,0,0,0,0,45.54,0,0,0,2.66,0,0,0,0,0,0,0,6.92,0,0,4.8,63.67,0,0,0,10.27,0,0.88,0,0,0,1.56,0,40.46,0,0,0,0,0
 48-58,0,0,0,2.73,0.82,0,22.39,0,0,1.96,0.76,0,0,0,0,0,0,0,5.68,0,0.55,3.7,80.38,0.48,0.64,0,0,0,0,0.65,0,4.02,0,0,41.65,0,0,0,0,0
 60-70,0,0,0,0,0.97,0,452.44,0,0,0.87,2.47,0,0,0,0,0,0,0,7.37,1.27,2.26,1.01,56,0,2.57,0.65,0,0,1.75,0,0,13.22,0,0,5.34,0,0.83,0,0,0
 72-82,0,0,0,4.06,0.81,0,1757.17,0,1.27,0.82,5.35,0,0,0,0,0,0,7.38,19,0,0,0,97,2.3,3.66,3.27,0,1.03,0,0,0,8.27,0,0,23.22,3.4,0.87,9.12,2.36,0
 84-94,0,0,0,4.88,2.16,0,2116.44,0.56,0,8.16,1.43,0.9,2.81,0,0,0,0,0,28.27,0,0,0.93,21.61,1.43,3.54,0.85,0,0,1.64,0,0,24.41,0,0,6.88,0,0,1.6,1.68,4.35
 96-106,0,0,0,2.62,20.41,0,1831.9,1.02,0,0,21.3,1.16,0,0.74,4.33,1.34,0.88,43.96,29.23,0,4.22,4.67,68.82,0,5.24,0,0,2.84,9.1,0,0,23.49,0.72,0,10.22,0,0,19.01,0,1.93
108-118,0,0,0,14.62,7.75,0.78,1809.25,0.67,0,8.66,10.16,0,0,0,0,0.92,0,3.8,58.24,0.48,0,9.12,90.18,0,1.86,2.83,0,0,3.11,0,0,24.21,0.53,0,10.22,0,0,6.09,2.65,0.42
120,0,0,1.73,19.36,0,0,2111.27,0,10.1,5.4,27.92,1.88,0,0,0,0,0,0,53.45,0,0,0,139.92,0,0,2.92,0,11,13.43,0,0,35.16,0,0,45.1,0,0,7.47,0,0
