stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,olfactory,pronephros,spinal_cord,vasculature
  3-4,12.32,0,0,0,0,0,0,0,0,0,0
  5-6,7.49,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.31,0,0,0,5.97,0,0,0,0
 10-12,0,0,0,0,0,0,9.99,0,0,0,0
 24-34,0,0,0,0,0,0,1.42,0,0,0,0
 36-46,0,0,0.61,0,0,0,0.74,0,0,0.82,0
 48-58,0,0,1.25,0,0,0,5.06,0,0,0,0
 60-70,0,0,8.43,0,0,0,70.46,0,0.59,0,0
 72-82,0,0,24.4,0,5.07,0,49.84,0,0,0,1.29
 84-94,0,0.59,32.79,0,0,1.25,26.16,0,0,0,0
 96-106,0,0,5.92,2.33,0,0,59.42,0,0,0,0
108-118,0,1.22,42.18,1.3,0,0,86.74,0,0,0,0
120,0,0,43.21,0,0,0,65.17,2,0,0,0
