stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,261.47,7964.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,482.46,8705.01,10.68,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,303.36,0,0,0,32.32,0,120.95,0,0,0,0,0,0,0,0,0,0,0
  7-9,78.05,382.68,475.24,0,0,0,1113.2,0,0,0,0,0,193.12,0,0,0,0,0,0,0,0,0,0,0,9716.46,114,0,0,2942.39,0,8.57,61.52,0,0,0,0,0,0,0,0,0,0
 10-12,9.78,266.28,327.61,0,0,0,835.41,0,0,0,0,0,92.26,0,0,0,0,0,0,0,0,0,0,0,6895.84,170.25,0,0,2176.33,0,0,13.77,9.04,245.81,0,9.86,7.76,0,0,0,0,0
 14-21,0,1.36,14.83,99.94,49.21,0,73.49,0,0,0,29.77,4.59,0.98,1.07,0,3.93,0,0,0,0,63.96,0,0,59.64,1281.22,31.86,3.36,16.69,31.06,0,48.37,0,100.93,4.43,11.55,81.06,368.37,0,0,3.98,0,0
 24-34,0,0,0.88,34.49,15.37,0,291.51,0,2.51,0.69,20.1,2.61,0,6.28,2.53,1.39,2.72,2.22,0.62,2.18,115.56,0,0,52.85,1461.25,7.94,1.42,21.25,0,0.99,36.17,0,1.59,2.12,0,2.43,233.85,0,0,34.22,0,4.04
 36-46,0,0,0.56,15.59,1.74,0,286.16,0,3.59,0,19.58,0,0,3.83,0,2.41,0,3.76,10.06,0,86.23,1.19,1.45,20.96,679.14,5.42,1.38,3.94,0,0,33.44,0,0,7.52,0,0,110.68,0,0,14.23,0,7.69
 48-58,0,0,0,17.55,2.39,0,286.97,0.62,7.46,1.92,36.6,0.63,0,1.01,3.93,0.97,8.69,0.82,0,0,69.08,0.91,10.19,24.43,348.92,2.79,0,0,0,0,5.37,0,0,0,0,0,27.18,0,0,11.41,0,7.24
 60-70,0,0,0,28.71,0,0,166.24,0,1.54,1.8,37.46,0,0,2.09,0.78,11.61,0,0,2.12,0,49.91,0,4.58,4.91,213.75,2.56,0,5.58,0,0,4.76,0,0,0.59,0,0,17.27,0,0,10.99,0.73,0
 72-82,0,0,0,15,0.57,1.48,37.29,0,0,1.13,22.9,7.93,0,0.58,2.58,0,0,0,1.57,0,60.29,0,0.93,8.29,96.81,0.62,0.7,8.05,0,0.71,1.76,0,0,0,0,0,1.22,0.92,2.24,4.31,0,0
 84-94,0,0,0,22.57,7.06,0.74,53.77,0,0,3.98,29.25,0.99,0,0,6.26,0,2.04,1.57,5.45,0,57.01,0,7.36,10.5,87.31,5.72,1.49,7.1,0,0,7.39,0,0,0.93,0,0,0,0,0,14.35,0,0
 96-106,0,0,0,6.68,2.87,3.15,20.91,0,0,0,14.08,9.67,0,3.81,4.01,1.06,0,0,7.71,0,55.82,0.68,2.82,5.91,54.15,0,1.77,1.69,0,0,2.1,0,0,1.64,0,0,0,0,1.04,4.68,0,0
108-118,0,0,0,7.31,7.04,1.63,36.77,0,0,0.83,21.15,5.24,0,1.34,3.16,0,1.6,0,5.31,0,22.47,0,0,10.86,97.27,3.86,0.46,3.05,0,1.06,10.44,0,0,0,0,0,2.58,0.51,0,10.58,2.27,0
120,0,0,0,15.38,5.78,1.61,40.46,0,0,0,47.53,6.31,0,0,13.13,0,1.18,0,0,0,63.35,0,0,8.07,62.89,6.11,8.55,0,0,0,4.51,0,0,0,0,0,1.57,0,0,2.17,4.27,0
