stage,axial,blastomeres,exocrine_pancreas,eye,gut,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pronephros,spinal_cord,taste,visceral_smooth_muscle
  3-4,12.63,56.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,19.94,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.96,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0.98,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,6.02,0,8.82,0,0,0
 36-46,0,0,0,0,0,0,1.07,0,0,0,0.87,1.29,0,6.97,0,0,0
 48-58,0,0,0,0,0,0,0,0.74,0,0,5.12,2.45,0,0,1.01,0,0
 60-70,0,0,0,18.84,0,0,1.45,0,0,0,0,0,0,8.9,0,0,0
 72-82,0,0,0,0,1.75,0,0,0.55,0,0,7.99,1.02,0,10.07,0,0,0
 84-94,0,0,0,3,0.66,0,0,0,0,0,9.68,0,0.63,13.66,0,0.9,2.73
 96-106,0,0,0,8.21,0.81,0,0,7.61,0,1.38,11.04,1.92,0,26.97,0,0,0
108-118,0,0,1.65,16.18,2.28,0.43,0.47,4.35,1.32,0,8.98,1.39,0,19.93,2.82,0,0
120,0,0,0,8.75,0,0,1.06,5.38,0,0,6.96,1.32,0,51.12,3.65,0,0
