stage,eye,mesenchyme,muscle,neural,spinal_cord
 14-21,0,0.93,0,0,0
 24-34,0,0.71,0.71,2.4,0
 36-46,1.38,0,1.46,4.11,14.43
 48-58,0.46,0.65,0,2.91,1.74
 60-70,0.91,0,0,3.95,0
 72-82,0,0,0,1.24,0
 84-94,6.41,0,0,0,0
 96-106,0,0,0,12.97,0
