stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,59.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.77,0,0,0,0,0,0,0,0,0,0,0,23.06,0,0,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,26.32,3.57,0,0,6.03,0,0,0,0,0,0,0,0
 14-21,0,1.05,0,0,1.71,0.88,0,0,0,0,0,0,0,1.29,0,0,1.88,60.74,0,0,0,0,0,0,0,14.25,0,0,0,0
 24-34,0,1.29,0,0,0,1.25,0,3.35,0,0,0,0,0,14.56,0,0,24.35,93.62,0,0,0,0,0,0,0.75,17.06,0,1.53,0,1.45
 36-46,0,0.85,0,0,0,2.53,0,6.59,0,0,0,0,0,23.14,0,0,71.85,48.81,0,0,0.74,0,1.49,1.89,0,8.54,0,1.78,0,0
 48-58,0,0,0,0,0,10,1.39,7.69,0,0,0,0,0,62.4,0,0.42,50.4,36.95,0,0.48,0,0,0,0,0,9.14,0,0.81,0,0
 60-70,0,0,0,0,0,8.68,0.77,18.79,0,0,0,0.67,0,84.73,0,0,26.49,22.18,0,0,0,0,0,0,0,0,0.9,0,0,0
 72-82,0,0,0,0,0,6.24,0,1.26,0,0,0.53,2.12,0,124.61,0,4.79,44.61,9.42,0,0,0,0,0,0,0,0,1.66,0,0,0
 84-94,0,0,0,0.66,0,10.27,0,4.72,0,0,0,0.65,0,98.81,1.71,2.6,32.28,11.82,0,0,0,0,1.92,0,0,0,5.4,0,0.8,0
 96-106,0,0.61,0,2.45,6.73,8,0,4.22,2.87,0.7,0,0,0.59,138.2,0,0,37.27,13.53,0,1.64,0,0,2.58,0.64,0,0,0.66,0,1.65,0
108-118,0,0,0.74,1.34,0,9.92,1.17,11.64,0,0.44,0,1.9,0,147.32,1.14,0,17.15,20.55,0,0,0,0,2.97,0,0,1.9,3.91,4.6,0,0
120,0,0,0,1.4,0,5.84,0,1.16,0,0,0,0,0,138.37,0,0,8.7,59.2,0,0,0,0,2.38,0,0,0,5.64,0,0,0
