stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,82.05,618.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,0,0
  5-6,15,431.05,0,0,0,0,0,0,0,0,0,44.59,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0
  7-9,7.35,0,0,6.61,0,0,12.33,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,123.63,26.88,0,0,53.44,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.03,0,35.33,0,0,26.57,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,185.59,20.07,0,0,98.45,0,0,0,0,0,5.05,0,0,0,0,0
 14-21,0,0,1.13,0,2.22,0.84,1.66,0,0,0,0.85,0,0,0,0,0,0,0,1.37,0,0,1.66,15.88,1.08,0,0,1.19,0,4.09,2.46,0.84,0.86,1.89,5.9,0,1.49,0,0
 24-34,0,0,0,0,3.33,0,1.9,0,0,0,0,0,0,1.49,3.06,0,0,0,2.07,0,0,3.76,72.41,0.87,0,0,0,0,3.44,0,0.65,0,0,29.22,0,9.99,0,0
 36-46,0,0,0,0,0,0,6.87,0,3.07,2.67,0,0,0,0,5.48,0,0,1.49,11.13,0,0,3.28,75.74,0,2.14,0,0,0,6.36,0,0.6,0,0,18.25,0,5.63,0,0
 48-58,0,0,0,0,4.15,0,16.79,0,0,15.01,0,0.93,0.82,0.95,0,0,0,0.46,5.95,1.08,0,0.4,85.6,0,1.66,0.96,0,0,0.43,0,0,0,0,20.3,0,6.14,0,0
 60-70,0,0,0,0,1.89,0,36.93,1.34,0,2.73,0,0,0,0,0.67,1.16,0.67,0,16.39,2.63,0,0.67,98.16,0,0.88,2.59,0,3.12,4.86,0,0,0,0,8.5,0.8,0,0,6.19
 72-82,0,0,0,0,1.12,1.01,25.46,0,0,8.57,0.67,0,0,0,0.55,0,0,4.39,12.73,0,0,0,75.34,0,0,0,0,0,8.47,0,0,0,0,11.51,0,2.98,0,1.68
 84-94,0,0,0,0,5.01,0,48.12,1.01,0,9.5,0.62,0.99,0,5.65,3.26,0,0,1.05,7.24,0,0,4.34,48.31,0.79,0,0,0,0,9.62,0,0,0,0,13.45,0,4.7,0,1.02
 96-106,0,0,0,0,0.83,0,42.93,0,0,12.52,2.4,0,0,1.59,1.38,0,0,0.67,12.99,1.8,0,1.93,32.44,0,6.45,1.09,0,0,9.59,0,0.67,0,0,4.01,0,5,0,1.79
108-118,0,0,0.64,0,3.79,7.98,14.57,0.42,0,12.16,0.79,0,0,1.98,1.77,7.65,1.38,0.47,5.39,0.94,1.08,3.37,65.81,0,0,1.82,0,2.11,8.76,0,0,0,0,0,0,9.21,0,14.24
120,0,0,0,0,1.5,0,21.58,0,0,13.29,3.4,0,0,3.73,0,0,0,0,4.11,0,0,0,62.97,0,0,1.47,0,0,4.77,0,0,0,0,0,0,11.75,8.03,0
