stage,eye,glial,neural,pronephros,somites,spinal.cord
 14-21,0,1.18,1.57,1.78,0.81,7.96
 24-34,0,1.56,0,0,0,3.88
 36-46,0,0,0,0.59,0,0.57
 48-58,0,0.6,0,0,0,0.42
 60-70,0,0,0,0,0,1.32
 72-82,0.64,0,0,0,0,0
 96-106,0,0,1.74,0,0,2.2
