stage,axial,blastomeres,eye,fin.epithelia,glial,hatching.gland,heart,lateral.line,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,134.38,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.77,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.31,0,0,0,0,0,0,0,0,65.29,4.15,0,0
 10-12,0,3.59,0,0,0,3.57,0,0,0,65.2,9.17,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.88,0,1.67,0
 24-34,0,0,0,0,0,0,0,1.08,1.1,4.85,0,0,0
 36-46,0,0,0.78,0,0,0,10.82,0,0.67,1.35,0,0,0
 48-58,0,0,1.08,0,0,0,0,0,0,4.52,0,0,5.49
 60-70,0,0,1.36,0,1.65,0,0,0,0,16.5,0,0,0
 72-82,0,0,0.86,0,0,0,0,0,0.88,9.02,0,0,1.94
 84-94,0,0,6.26,0,0,0,0,0,0,1.87,0,0,0
 96-106,0,0,0,0,0,0,0,0,3.89,6.24,0,0,0
108-118,0,0,0,0.54,0,0,0,0,0,3.86,0,0,0
120,0,0,1.08,0,0,0,0,0,19.84,29.5,0,0,0
