stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,slow.muscle,somites,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,0,1.35,0,0,0,9.69,0,0,0,0.99,1.98,0
 24-34,0.63,0.63,0,0,0,0,0,0,0,0,1.44,8.22,0,0,0,0,0.91,0
 36-46,0,0,0,5.97,0,0,0,0,0,0,0,8.77,0,0,0,0,3.29,0
 48-58,0,0.39,0,5.5,0,0.9,0,1.18,0,0.52,0,4.51,0,0,0,0,0.88,0
 60-70,0,0,0,0,0,1.18,0,0.65,0,0,0,2.19,0,0,0,0,0,0
 72-82,0,0,0,1.75,0,0.74,0,1.69,0,0,0,1.55,0,0.94,0,0,0,2.1
 84-94,0,0,0,0,0,0,0.67,0.79,0,0,0,11.2,0,0,0,0,0,0
 96-106,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0
108-118,3.07,0,2.29,0,0,0,0.43,0,0.45,0,0,0,1.1,2.58,0,0,0,0
120,0,0,0,0,1.14,0,0,0,0,0,1.03,5.59,0,0,1.99,0,0,0
