stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.43,34.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.31,0,0,0,0,0,0,0,0
  5-6,0,42.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.67,5.76,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,76.33,0,0,23.47,99.84,0,0,0,0,0,0,0,0
 10-12,0,10.82,0,0,9.83,0,0,0,0,0,0,0,0,0,0,0,57.58,4.73,0,35.39,17.87,0,7.65,0,0,0,0,0,0
 14-21,0,0,1.48,0,0,0,0,0,0,0,0,0,7.03,0,0,0,1,0,0,0,25.22,1.85,0.86,1.73,0,0,0,0,0
 24-34,0,0,0,0,0.75,0,0,0,0,0,0,1.08,4.19,1.01,0,0,6.55,0,0,0,15.81,0,0,0,0,0,0,0,0
 36-46,0,0,2.71,0,0.71,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0,26.5,0,1.32,0,1.58,0,0,0,0
 48-58,0,0,9.44,0,4.43,0,0.39,0,0,0,0,0,0,3.96,0,0,6.67,0,1.7,0,11.23,0,0,0,0,0,0,0,0
 60-70,0,0,13.29,0,5.03,0,0,0,0,0,0,0,0.68,0.76,0,1.06,12.1,0,1.12,0,17.44,0,0,0,0,0,0,0,0
 72-82,0,0,33.48,10.17,9.51,0,0,1.33,0,0,0,0,7.38,1.23,0,0,3.32,0,0,0,15.99,0,0,0,0,0.63,0.72,0,0
 84-94,0,0,82.82,0,4.79,0.58,0.9,2.09,0,0.73,0,0,0,0.7,0,0,14.34,0,0,0,26.27,0,0,0,0,0.56,0,0,8.11
 96-106,0,0,106.01,0,2.46,2.37,0,1.53,0,2.47,0.63,0,0,0,0.7,0.69,6.66,0,1.85,0,92.67,0,0,0,0,0.74,0,1.67,0
108-118,0,0,115.55,1.27,1.39,1.11,0,7.63,0,5.24,0,0,0,1.36,0,0,12.09,0,8.44,0,59.3,0,0.99,0,0,8.03,1.6,0,0
120,0,0,117.78,5.97,11.26,9.23,0,2.92,1.48,0,0,0,0,0,0,0,1.96,0,2.51,0,42.74,0,0,0,0,2.09,0,0,0
