stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,21.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.74,65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.36,0,0,0,0,0,0
 14-21,0,0,1.45,0,0,0,0,0,0,0,0,0,2.3,0,1.03,0.81,0,0,0,0,0,1.86,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,17.42,0,0,0,0,0,3.26,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,5.79,0,4.02,56.41,1.34,0,0,0,0,3.27,0,0,0
 48-58,0,0,0.88,1.88,0,0,0,0,0,0,0,0,7.66,0,0.69,72.39,0,0,0,0,0,3.76,0,0,0
 60-70,0,0,0,13.13,0,0,0,4.31,0,0,0,0,13.32,0,1.33,143.89,0,0,0,0,0,7.69,0,0,6.81
 72-82,0,0,0,19.28,0,0,2.47,27.97,0,0.59,0,0,29.05,0,5.61,232.74,0,0.9,0,0,0,27.9,0,0,4.81
 84-94,0,0,0,23.46,0,0,5.26,48.29,0,2.59,0.67,0,30.42,0,4.57,135.94,0,0,0,0,1.4,8.29,0,0,0
 96-106,0,0,0,20.94,0,0.96,7.6,45.4,0.87,0,0,0,48.95,0,7.4,164.73,0,0,0,6.88,0,5.53,0,0.81,4.64
108-118,0,0,2.58,21.89,0.47,0,6.12,52.37,0,0,0.89,0.45,17.49,4.1,5.78,228.3,0,1.37,0,0,0,11.55,0.99,0,0
120,0,0,0,25.37,1.18,0,11.83,28.56,0,0,0,0,15.53,0,12.56,301.26,0,29.71,0,0,0,4.03,0,0,0
